Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Albania,ALB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,18.4707508087158,..,..,..,18.6892604827881,..,..
Algeria,DZA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,19.5475978851318,..,..,..,19.3112182617188,..,..
Andorra,AND,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Angola,AGO,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,72.5248718261719,..,..,..,92.9754104614258,..,..
Anguilla,AIA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,2.35286855697632,..,..,..,1.78571617603302,..,..
Antigua and Barbuda,ATG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.54499757289886,..,..,..,1.39455592632294,..,..
Argentina,ARG,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,6.25556182861328,..,..,..,19.301685333252,..,..
Armenia,ARM,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,69.2450942993164,..,..,..,66.0578079223633,..,..
Aruba,ABW,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.03326261043549,..,..,..,0.960431396961212,..,..
Australia,AUS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.24983322620392,..,..,..,1.24232876300812,..,..
Austria,AUT,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.67233806848526,..,..,..,0.596131861209869,..,..
Azerbaijan,AZE,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.16578620672226,..,..,..,0.172087430953979,..,..
"Bahamas, The",BHS,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.05030238628387,..,..,..,..,..,..
Bahrain,BHR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.164668187499046,..,..,..,0.134496778249741,..,..
Bangladesh,BGD,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,14.7591705322266,..,..,..,11.0088567733765,..,..
Barbados,BRB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.3874100446701,..,..,..,..,..,..
Belarus,BLR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.259739816188812,..,..,..,0.304975569248199,..,..
Belgium,BEL,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.64160281419754,..,..,..,0.503821909427643,..,..
Belize,BLZ,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.846950531005859,..,..,..,0.685729742050171,..,..
Benin,BEN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,135.902465820313,..,..,..,132.353469848633,..,..
Bermuda,BMU,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,1.31127285957336,..,..,..,1.21123611927032,..,..
Bhutan,BTN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,7.12215089797974,..,..,..,7.70220041275024,..,..
Bolivia,BOL,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,2.03342080116272,..,..,..,1.84168446063995,..,..
Bonaire,BON,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.467114120721817,..,..,..,0.396893829107285,..,..
Botswana,BWA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,2.79838371276855,..,..,..,2.53835916519165,..,..
Brazil,BRA,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,2.00084853172302,..,..,..,1.78390693664551,..,..
British Virgin Islands,VGB,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.955167710781097,..,..,..,..,..,..
Brunei Darussalam,BRN,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.500904381275177,..,..,..,0.327684104442596,..,..
Bulgaria,BGR,Purchasing power parity (PPP) (US$ = 1),PPPGlob,9080000:ACTUAL HEALTH,9080000,0.306473433971405,..,..,..,0.30509677529335,..,..
