index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
33913,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (10 % expanded coverage) vs. next best alternative,Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,236,United States,2017,260.89
33914,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (20% expanded coverage) vs. doxycycline treatment (10% expanded coverage),Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,279,United States,2017,308.42
33915,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (30% expanded coverage) vs. doxycycline treatment (20% expanded coverage),Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,325,United States,2017,359.27
33916,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (40% expanded coverage) vs. doxycycline treatment (30% expanded coverage),Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,372,United States,2017,411.23
33917,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (50% expanded coverage) vs. doxycycline treatment (40% expanded coverage),Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,422,United States,2017,466.5
33918,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (60% expanded coverage) vs. doxycycline treatment (50% expanded coverage),Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,475,United States,2017,525.09
33919,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (70% expanded coverage) vs. doxycycline treatment (60% expanded coverage),Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,530,United States,2017,585.89
33920,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (80% expanded coverage) vs. doxycycline treatment (70% expanded coverage),Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,587,United States,2017,648.9
33921,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (90% expanded coverage) vs. doxycycline treatment (80% expanded coverage),Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,624,United States,2017,689.81
33922,Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar.,"Plague (Yersinia pestis) remains endemic in certain parts of the world. We assessed the cost-effectiveness of plague control interventions recommended by the World Health Organization with particular consideration to intervention coverage and timing. We developed a dynamic model of the spread of plague between interacting populations of humans, rats, and fleas and performed a cost-effectiveness analysis calibrated to a 2017 Madagascar outbreak. We assessed three interventions alone and in combination: expanded access to antibiotic treatment with doxycycline, mass distribution of doxycycline prophylaxis, and mass distribution of malathion. We varied intervention timing and coverage levels. We calculated costs, quality-adjusted life years (QALYs), and incremental cost-effectiveness ratios from a healthcare perspective. The preferred intervention, using a cost-effectiveness threshold of $1350/QALY (GDP per capita in Madagascar), was expanded access to antibiotic treatment with doxycycline with 100% coverage starting immediately after the first reported case, gaining 543 QALYs at an incremental cost of $1023/QALY gained. Sensitivity analyses support expanded access to antibiotic treatment and leave open the possibility that mass distribution of doxycycline prophylaxis or mass distribution of malathion could be cost-effective. Our analysis highlights the potential for rapid expansion of access to doxycycline upon recognition of plague outbreaks to cost-effectively prevent future large-scale plague outbreaks and highlights the importance of intervention timing.",2021-01-42107,34208006,Trop Med Infect Dis,Giovanni Malloy,2021,6 / 2,,No,34208006,"Giovanni Malloy; Margaret Brandeau; Jeremy Goldhaber-Fiebert; Modeling the Cost-Effectiveness of Interventions to Prevent Plague in Madagascar., Trop Med Infect Dis, 2021 Jun 11; 6(2):",QALY,Madagascar,Certain zoonotic bacterial diseases,Pharmaceutical,doxycycline treatment (100% expanded coverage) vs. doxycycline treatment (90% expanded coverage),Not Stated,Not Stated,0 Years,"Male, Female",Full,"5 Months, Lifetime",3.00,3.00,709,United States,2017,783.77
