index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
16401,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor positive and progesterone receptor positive (ER+/PR+),Not Stated,85 Years,Female,Full,Lifetime,3.00,3.00,337945,New Zealand,2011,491840.06
16402,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor positive and progesterone receptor negative (ER+/PR-),44 Years,25 Years,Female,Full,Lifetime,3.00,3.00,56181,New Zealand,2011,81764.98
16403,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor positive and progesterone receptor negative (ER+/PR-),54 Years,45 Years,Female,Full,Lifetime,3.00,3.00,74469,New Zealand,2011,108381.06
16404,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor positive and progesterone receptor negative (ER+/PR-),64 Years,55 Years,Female,Full,Lifetime,3.00,3.00,73735,New Zealand,2011,107312.81
16405,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor positive and progesterone receptor negative (ER+/PR-),74 Years,65 Years,Female,Full,Lifetime,3.00,3.00,79335,New Zealand,2011,115462.96
16406,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor positive and progesterone receptor negative (ER+/PR-),84 Years,75 Years,Female,Full,Lifetime,3.00,3.00,130817,New Zealand,2011,190389.09
16407,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor positive and progesterone receptor negative (ER+/PR-),Not Stated,85 Years,Female,Full,Lifetime,3.00,3.00,249928,New Zealand,2011,363741.44
16408,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor negative and progesterone receptor positive (ER-/PR+),44 Years,25 Years,Female,Full,Lifetime,3.00,3.00,37003,New Zealand,2011,53853.61
16409,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor negative and progesterone receptor positive (ER-/PR+),54 Years,45 Years,Female,Full,Lifetime,3.00,3.00,47189.68,New Zealand,2011,68679.15
16410,Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis,"BACKGROUND: The anti-human epidermal growth factor receptor 2 (HER2) monoclonal antibody trastuzumab improves outcomes in patients with node-positive HER2+ early breast cancer. Given trastuzumab''s high cost, we aimed to estimate its cost-effectiveness by heterogeneity in age and estrogen receptor (ER) and progesterone receptor (PR) status, which has previously been unexplored, to assist prioritisation. METHODS AND FINDINGS: A cost-utility analysis was performed using a Markov macro-simulation model, with a lifetime horizon, comparing a 12-mo regimen of trastuzumab with chemotherapy alone using the latest (2014) effectiveness measures from landmark randomised trials. A New Zealand (NZ) health system perspective was adopted, employing high-quality national administrative data. Incremental quality-adjusted life-years for trastuzumab versus chemotherapy alone are two times higher (2.33 times for the age group 50-54 y; 95% CI 2.29-2.37) for the worst prognosis (ER-/PR-) subtype compared to the best prognosis (ER+/PR+) subtype, causing incremental cost-effectiveness ratios (ICERs) for the former to be less than half those of the latter for the age groups from 25-29 to 90-94 y (0.44 times for the age group 50-54 y; 95% CI 0.43-0.45). If we were to strictly apply an arbitrary cost-effectiveness threshold equal to the NZ gross domestic product per capita (2011 purchasing power parity [PPP]-adjusted: US$30,300; euro23,700; pound21,200), our study suggests that trastuzumab (2011 PPP-adjusted US$45,400/euro35,900/ pound21,900 for 1 y at formulary prices) may not be cost-effective for ER+ (which are 61% of all) node-positive HER2+ early breast cancer patients but cost-effective for ER-/PR- subtypes (37% of all cases) to age 69 y. Market entry of trastuzumab biosimilars will likely reduce the ICER to below this threshold for premenopausal ER+/PR- cancer but not for ER+/PR+ cancer. Sensitivity analysis using the best-case effectiveness measure for ER+ cancer had the same result. A key limitation was a lack of treatment-effect data by hormone receptor subtype. Heterogeneity was restricted to age and hormone receptor status; tumour size/grade heterogeneity could be explored in future work. CONCLUSIONS: This study highlights how cost-effectiveness can vary greatly by heterogeneity in age and hormone receptor subtype. Resource allocation and licensing of subsidised therapies such as trastuzumab should consider demographic and clinical heterogeneity; there is currently a profound disconnect between how funding decisions are made (largely agnostic to heterogeneity) and the principles of personalised medicine.",2016-01-22384,27504960,PLoS Med,William Leung,2016,13 / 8,e1002067,No,27504960,"William Leung; Giorgi Kvizhinadze; Nisha Nair; Tony Blakely; Adjuvant Trastuzumab in HER2-Positive Early Breast Cancer by Age and Hormone Receptor Status: A Cost-Utility Analysis, PLoS Med, 2016 Aug; 13(8):1549-1676; e1002067",QALY,New Zealand,Not Stated,Not Stated,12 month trastuzumab regimen vs. Chemotherapy alone (treatment with an anthracycline),Estrogen receptor negative and progesterone receptor positive (ER-/PR+),64 Years,55 Years,Female,Full,Lifetime,3.00,3.00,48117,New Zealand,2011,70028.76
