index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
31101,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Peru,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,-38.46,United States,2014,-42.05
31102,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Poland,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,152.5,United States,2014,166.72
31103,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Portugal,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,137.89,United States,2014,150.75
31104,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Qatar,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,-30,United States,2014,-32.8
31105,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Romania,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,-9.17,United States,2014,-10.02
31106,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Saint Kitts and Nevis,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,-66.74,United States,2014,-72.96
31107,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Samoa,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,-30.71,United States,2014,-33.58
31108,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Saudi Arabia,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,-44.55,United States,2014,-48.7
31109,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Senegal,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,-11.86,United States,2014,-12.97
31110,Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study,"BACKGROUND: The controlled temperature chain (CTC) strategy allows vaccines to be kept outside the cold chain for a short period of time. In remote rural areas, the CTC strategy for the hepatitis B virus (HBV) birth dose vaccination could improve its geographical coverage and timeliness of delivery, but with additional outreach costs. We assessed the cost-effectiveness of the CTC strategy for the HBV birth dose across six world regions and 72 countries according to their HBV prevalence, delivery costs, and birth dose coverage and timing. METHODS: By use of a mathematical model of perinatal HBV transmission and disease progression, we calculated per 1000 births the total HBV-related disability-adjusted life-years (DALYs) and costs, including vaccine delivery costs and costs associated with HBV-related disease, with and without the CTC strategy. FINDINGS: A CTC strategy produced health benefits in all regions and was cost-saving in the regions of east Asia and Pacific, Latin America and Caribbean, sub-Saharan Africa, and north Africa and Middle East. The CTC strategy cost US$0.15 (IQR -7.11 to 4.75) per DALY averted in the central and eastern Europe and central Asia region and $79.72 (66.47 to 94.47) in the south Asia region. Within individual countries, more savings were achieved and more DALYs averted in areas with above average HBV prevalence, below average birth dose coverage, or later than average birth dose delivery. INTERPRETATION: A CTC outreach strategy that improves the timing and coverage of the HBV birth dose vaccination is likely to be cost-saving and reduce the burden of HBV infection associated with perinatal transmission. FUNDING: Burnet Institute.",2018-99-27176,29773122,Lancet Glob Health,Nick Scott,2018,6 / 6,e659-e667,No,29773122,"Nick Scott; Anna Palmer; Christopher Morgan; Olufunmilayo Lesi; C Wendy Spearman; Mark Sonderup; Margaret Hellard; Cost-effectiveness of the controlled temperature chain for the hepatitis B virus birth dose vaccine in various global settings: a modelling study, Lancet Glob Health, 2018 Jun; 6(6):2214-109X; e659-e667",DALY,Singapore,Not Stated,Immunization,Controlled temperature chain for the hepatitis B virus birth dose vaccine vs. Standard/Usual Care- Hepatitis B virus birth dose vaccination delivery/storage without controlled temperature chain strategy,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,-10.74,United States,2014,-11.74
