index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
30101,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Netherlands,Not Stated,Environmental,On-farm campylobacter intervention: Anteroom with hygiene barrier vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,189,Euro,2009,317.73
30102,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Netherlands,Not Stated,Environmental,On-farm campylobacter intervention: Maximum downtime ten days vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,14576,Euro,2009,24504.2
30103,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Netherlands,Not Stated,Environmental,On-farm campylobacter intervention: Drink nipples without cup vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,21756,Euro,2009,36574.74
30104,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Netherlands,Not Stated,Environmental,On-farm campylobacter intervention: New houses vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,24498,Euro,2009,41184.41
30105,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Netherlands,Not Stated,Environmental,On-farm campylobacter intervention: Slaughter at 35 days vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,94970,Euro,2009,159657.25
30106,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Netherlands,Not Stated,Environmental,On-farm campylobacter intervention: Stop thinning vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,158213,Euro,2009,265977.18
30107,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Denmark,Not Stated,Environmental,On-farm campylobacter intervention: Designated tools vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,208,Euro,2009,349.68
30108,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Denmark,Not Stated,Environmental,On-farm campylobacter intervention: Anteroom with hygiene barrier vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,418,Euro,2009,702.71
30109,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Denmark,Not Stated,Environmental,On-farm campylobacter intervention: Fly screens vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,2667,Euro,2009,4483.58
30110,Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries,"Broilers are an important reservoir for human Campylobacter infections, one of the leading causes of acute diarrheal disease in humans worldwide. Therefore, it is relevant to control Campylobacter on broiler farms. This study estimated the cost-effectiveness ratios of eight Campylobacter interventions on broiler farms in six European countries: Denmark, the Netherlands, Norway, Poland, Spain, and United Kingdom. The cost-effectiveness ratio of an intervention was the estimated costs of the intervention divided by the estimated public health benefits due to the intervention, and was expressed in euro per avoided disability-adjusted life year (DALY). Interventions were selected on the basis of a European risk factor study and other risk factor research. A deterministic simulation model was developed to estimate the cost-effectiveness ratio of each intervention, if it would be implemented on all broiler farms in a country where it isn''t implemented yet and implementation is possible. The model considered differences between countries in number and size of broiler farms and established practices, in import, export and transit of live broilers, broiler meat and meat products, in effect of interventions on Campylobacter prevalence in broilers, in disease burden of Campylobacter related human illness, in national economic factors, such as interest rate and general cost levels, and in technical and economic farm performance. Across interventions, cost-effectiveness ratios were the lowest for Poland and Spain, and highest for Norway and Denmark. Across countries, applying designated tools for each farm house and building an anteroom with hygiene barrier in each farm house had the lowest cost-effectiveness ratios, whereas a ban on thinning (partial depopulation), slaughter at 35 days, replacing old houses by new houses, and applying drink nipples without cup had the highest. Applying fly screens in Denmark had an intermediate cost-effectiveness ratio. A maximum downtime between flocks of ten days had a negative cost-effectiveness ratio (i.e. revenue) in Poland, a low positive cost-effectiveness ratio in Spain and high positive cost-effectiveness ratios in Denmark, the Netherlands and United Kingdom. Estimated cost-effectiveness ratios of Campylobacter interventions on broiler farms differed substantially between the six countries, but the order of interventions in increasing cost-effectiveness ratio was generally similar across the countries.",2016-01-04113,0,Epidemiol Health,C.,2016,/,53-62,No,Not Stated,"C.; Rosemary J. Korda; Ellie Paige; Vasoontara Yiengprugsawan; Isabel Latz; Sharon Friel; Robert Ferrari; Cindy K. Blair; Miriam C. Morey; Renee A. Desmond; Harvey Jay Cohen; Richard Sloane; Denise C. Snyder; Wendy Demark-Wahnefried; Cost-effectiveness of Campylobacter interventions on broiler farms in six European countries, Epidemiol Health, 2016; ():2352-3522; 53-62",DALY,Denmark,Not Stated,Environmental,On-farm campylobacter intervention: Maximum downtime ten days vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,Not Stated / None,Not Stated,Not Stated,68891,Euro,2009,115814.97
