index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
19801,Estimating the Cost-Effectiveness of Lung Cancer Screening with Low-Dose Computed Tomography for High-Risk Smokers in Australia,"INTRODUCTION: Health economic evaluations of lung cancer screening with low-dose computed tomography (LDCT) that are underpinned by clinical outcomes are relatively few. METHODS: We assessed the cost-effectiveness of LDCT lung screening in Australia by applying Australian cost and survival data to the outcomes observed in the U.S. National Lung Screening Trial (NLST), in which a 20% lung cancer mortality benefit was demonstrated for three rounds of annual screening among high-risk smokers age 55 to 74 years. Screening-related costs were estimated from Medicare Benefits Schedule reimbursement rates (2015), lung cancer diagnosis and treatment costs from a 2012 Australian hospital-based study, lung cancer survival rates from the New South Wales Cancer Registry (2005-2009), and other-cause mortality from Australian life tables weighted by smoking status. The health utility outcomes, screening participation rates, and lung cancer rates were those observed in the NLST. Incremental cost effectiveness ratios (ICER) were calculated for a 10-year time horizon. RESULTS: The cost-effectiveness of LDCT lung screening was estimated at AU$138,000 (80% confidence interval: AU$84,700-AU$353,000)/life-year gained and AU$233,000 (80% confidence interval: AU$128,000-AU$1,110,000)/quality-adjusted life year (QALY) gained. The ICER was more favorable when LDCT screening impact on all-cause mortality was considered, even when the costs of incidental findings were also estimated in sensitivity analyses: AU$157,000/QALY gained. This can be compared to an indicative willingness-to-pay threshold in Australia of AU$30,000 to AU$50,000/QALY. CONCLUSIONS: LDCT lung screening using NLST selection and implementation criteria is unlikely to be cost-effective in Australia. Future economic evaluations should consider alternative screening eligibility criteria, intervals, nodule management, the impact and cost of new therapies, investigations of incidental findings, and incorporation of smoking cessation interventions.",2018-01-27387,29689434,J Thorac Oncol,Stephen Wade,2018,13 / 8,1094-1105,No,29689434,"Stephen Wade; Marianne Weber; Michael Caruana; Yoon-Jung Kang; Henry Marshall; Renee Manser; Shalini Vinod; Nicole Rankin; Kwun Fong; Karen Canfell; Estimating the Cost-Effectiveness of Lung Cancer Screening with Low-Dose Computed Tomography for High-Risk Smokers in Australia, J Thorac Oncol, 2018 Aug; 13(8):1556-1380; 1094-1105",QALY,Australia,Not Stated,Screening,Low-Dose Computed Tomography screening for lung cancer vs. None,"Smoking history of 30 or more pack-years and 15 years or less since quitting, current smokers",74 Years,55 Years,"Female, Male",Full,10 Years,5.00,5.00,123000,Australia,2015,101025.36
19802,Estimating the Cost-Effectiveness of Lung Cancer Screening with Low-Dose Computed Tomography for High-Risk Smokers in Australia,"INTRODUCTION: Health economic evaluations of lung cancer screening with low-dose computed tomography (LDCT) that are underpinned by clinical outcomes are relatively few. METHODS: We assessed the cost-effectiveness of LDCT lung screening in Australia by applying Australian cost and survival data to the outcomes observed in the U.S. National Lung Screening Trial (NLST), in which a 20% lung cancer mortality benefit was demonstrated for three rounds of annual screening among high-risk smokers age 55 to 74 years. Screening-related costs were estimated from Medicare Benefits Schedule reimbursement rates (2015), lung cancer diagnosis and treatment costs from a 2012 Australian hospital-based study, lung cancer survival rates from the New South Wales Cancer Registry (2005-2009), and other-cause mortality from Australian life tables weighted by smoking status. The health utility outcomes, screening participation rates, and lung cancer rates were those observed in the NLST. Incremental cost effectiveness ratios (ICER) were calculated for a 10-year time horizon. RESULTS: The cost-effectiveness of LDCT lung screening was estimated at AU$138,000 (80% confidence interval: AU$84,700-AU$353,000)/life-year gained and AU$233,000 (80% confidence interval: AU$128,000-AU$1,110,000)/quality-adjusted life year (QALY) gained. The ICER was more favorable when LDCT screening impact on all-cause mortality was considered, even when the costs of incidental findings were also estimated in sensitivity analyses: AU$157,000/QALY gained. This can be compared to an indicative willingness-to-pay threshold in Australia of AU$30,000 to AU$50,000/QALY. CONCLUSIONS: LDCT lung screening using NLST selection and implementation criteria is unlikely to be cost-effective in Australia. Future economic evaluations should consider alternative screening eligibility criteria, intervals, nodule management, the impact and cost of new therapies, investigations of incidental findings, and incorporation of smoking cessation interventions.",2018-01-27387,29689434,J Thorac Oncol,Stephen Wade,2018,13 / 8,1094-1105,No,29689434,"Stephen Wade; Marianne Weber; Michael Caruana; Yoon-Jung Kang; Henry Marshall; Renee Manser; Shalini Vinod; Nicole Rankin; Kwun Fong; Karen Canfell; Estimating the Cost-Effectiveness of Lung Cancer Screening with Low-Dose Computed Tomography for High-Risk Smokers in Australia, J Thorac Oncol, 2018 Aug; 13(8):1556-1380; 1094-1105",QALY,Australia,Not Stated,Screening,Low-Dose Computed Tomography screening for lung cancer vs. None,"Smoking history of 30 or more pack-years and 15 years or less since quitting, past smokers",74 Years,55 Years,"Female, Male",Full,10 Years,5.00,5.00,1480000,Australia,2015,1215589.72
19803,The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco,"BACKGROUND: Poor adherence to either antiretroviral treatment (ART) or pre-exposure prophylaxis (PrEP) can promote drug resistance, though this risk is thought to be considerably higher for ART. In the population of men who have sex with men (MSM) in San Francisco, PrEP coverage reached 9.6% in 2014 and has continued to rise. Given the risk of drug resistance and high cost of second-line drugs, the costs and benefits of initiating ART earlier while expanding PrEP coverage remain unclear. METHODS: We develop an infection-age-structured mathematical model and fit this model to the annual incidence of AIDS cases and deaths directly, and to resistance and demographic data indirectly. We investigate the impact of six various intervention scenarios (low, medium, or high PrEP coverage, with or without earlier ART) over the next 20 years. RESULTS: Low (medium, high) PrEP coverage with earlier ART could prevent 22% (42%, 57%) of a projected 44,508 total new infections and 8% (26%, 41%) of a projected 18,426 new drug-resistant infections, and result in a gain of 43,649 (74,048, 103,270) QALYs over 20 years compared to the status quo, at a cost of $4745 ($78,811, $115,320) per QALY gained, respectively. CONCLUSIONS: High PrEP coverage with earlier ART is expected to provide the greatest benefit but also entail the highest costs among the strategies considered. This strategy is cost-effective for the San Francisco MSM population, even considering the acquisition and transmission of ART-mediated drug resistance. However, without a substantial increase to San Francisco''s annual HIV budget, the most advisable strategy may be initiating ART earlier, while maintaining current strategies of PrEP enrollment.",2018-01-27389,29688862,BMC Med,Mingwang Shen,2018,16 / 1,58,No,29688862,"Mingwang Shen; Yanni Xiao; Libin Rong; Lauren Ancel Meyers; Steven E Bellan; The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco, BMC Med, 2018 Jan 30; 16(1):1741-7015; 58",QALY,United States of America,Not Stated,Pharmaceutical,Medium oral pre-exposure prophylaxis (PrEP) coverage vs. Low pre-exposure prophylaxis coverage: 25% during 20 years,Men who have sex with men,65 Years,18 Years,Male,Full,20 Years,3.00,3.00,117130,United States,2017,123672.21
19804,The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco,"BACKGROUND: Poor adherence to either antiretroviral treatment (ART) or pre-exposure prophylaxis (PrEP) can promote drug resistance, though this risk is thought to be considerably higher for ART. In the population of men who have sex with men (MSM) in San Francisco, PrEP coverage reached 9.6% in 2014 and has continued to rise. Given the risk of drug resistance and high cost of second-line drugs, the costs and benefits of initiating ART earlier while expanding PrEP coverage remain unclear. METHODS: We develop an infection-age-structured mathematical model and fit this model to the annual incidence of AIDS cases and deaths directly, and to resistance and demographic data indirectly. We investigate the impact of six various intervention scenarios (low, medium, or high PrEP coverage, with or without earlier ART) over the next 20 years. RESULTS: Low (medium, high) PrEP coverage with earlier ART could prevent 22% (42%, 57%) of a projected 44,508 total new infections and 8% (26%, 41%) of a projected 18,426 new drug-resistant infections, and result in a gain of 43,649 (74,048, 103,270) QALYs over 20 years compared to the status quo, at a cost of $4745 ($78,811, $115,320) per QALY gained, respectively. CONCLUSIONS: High PrEP coverage with earlier ART is expected to provide the greatest benefit but also entail the highest costs among the strategies considered. This strategy is cost-effective for the San Francisco MSM population, even considering the acquisition and transmission of ART-mediated drug resistance. However, without a substantial increase to San Francisco''s annual HIV budget, the most advisable strategy may be initiating ART earlier, while maintaining current strategies of PrEP enrollment.",2018-01-27389,29688862,BMC Med,Mingwang Shen,2018,16 / 1,58,No,29688862,"Mingwang Shen; Yanni Xiao; Libin Rong; Lauren Ancel Meyers; Steven E Bellan; The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco, BMC Med, 2018 Jan 30; 16(1):1741-7015; 58",QALY,United States of America,Not Stated,Pharmaceutical,High oral pre-exposure prophylaxis (PrEP) coverage vs. Low pre-exposure prophylaxis coverage: 25% during 20 years,Men who have sex with men,65 Years,18 Years,Male,Full,20 Years,3.00,3.00,132520,United States,2017,139921.81
19805,The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco,"BACKGROUND: Poor adherence to either antiretroviral treatment (ART) or pre-exposure prophylaxis (PrEP) can promote drug resistance, though this risk is thought to be considerably higher for ART. In the population of men who have sex with men (MSM) in San Francisco, PrEP coverage reached 9.6% in 2014 and has continued to rise. Given the risk of drug resistance and high cost of second-line drugs, the costs and benefits of initiating ART earlier while expanding PrEP coverage remain unclear. METHODS: We develop an infection-age-structured mathematical model and fit this model to the annual incidence of AIDS cases and deaths directly, and to resistance and demographic data indirectly. We investigate the impact of six various intervention scenarios (low, medium, or high PrEP coverage, with or without earlier ART) over the next 20 years. RESULTS: Low (medium, high) PrEP coverage with earlier ART could prevent 22% (42%, 57%) of a projected 44,508 total new infections and 8% (26%, 41%) of a projected 18,426 new drug-resistant infections, and result in a gain of 43,649 (74,048, 103,270) QALYs over 20 years compared to the status quo, at a cost of $4745 ($78,811, $115,320) per QALY gained, respectively. CONCLUSIONS: High PrEP coverage with earlier ART is expected to provide the greatest benefit but also entail the highest costs among the strategies considered. This strategy is cost-effective for the San Francisco MSM population, even considering the acquisition and transmission of ART-mediated drug resistance. However, without a substantial increase to San Francisco''s annual HIV budget, the most advisable strategy may be initiating ART earlier, while maintaining current strategies of PrEP enrollment.",2018-01-27389,29688862,BMC Med,Mingwang Shen,2018,16 / 1,58,No,29688862,"Mingwang Shen; Yanni Xiao; Libin Rong; Lauren Ancel Meyers; Steven E Bellan; The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco, BMC Med, 2018 Jan 30; 16(1):1741-7015; 58",QALY,United States of America,Not Stated,Pharmaceutical,Low oral pre-exposure prophylaxis (PrEP) coverage + earlier antiretroviral therapy vs. Low pre-exposure prophylaxis coverage: 25% during 20 years,Men who have sex with men,65 Years,18 Years,Male,Full,20 Years,3.00,3.00,4745,United States,2017,5010.03
19806,The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco,"BACKGROUND: Poor adherence to either antiretroviral treatment (ART) or pre-exposure prophylaxis (PrEP) can promote drug resistance, though this risk is thought to be considerably higher for ART. In the population of men who have sex with men (MSM) in San Francisco, PrEP coverage reached 9.6% in 2014 and has continued to rise. Given the risk of drug resistance and high cost of second-line drugs, the costs and benefits of initiating ART earlier while expanding PrEP coverage remain unclear. METHODS: We develop an infection-age-structured mathematical model and fit this model to the annual incidence of AIDS cases and deaths directly, and to resistance and demographic data indirectly. We investigate the impact of six various intervention scenarios (low, medium, or high PrEP coverage, with or without earlier ART) over the next 20 years. RESULTS: Low (medium, high) PrEP coverage with earlier ART could prevent 22% (42%, 57%) of a projected 44,508 total new infections and 8% (26%, 41%) of a projected 18,426 new drug-resistant infections, and result in a gain of 43,649 (74,048, 103,270) QALYs over 20 years compared to the status quo, at a cost of $4745 ($78,811, $115,320) per QALY gained, respectively. CONCLUSIONS: High PrEP coverage with earlier ART is expected to provide the greatest benefit but also entail the highest costs among the strategies considered. This strategy is cost-effective for the San Francisco MSM population, even considering the acquisition and transmission of ART-mediated drug resistance. However, without a substantial increase to San Francisco''s annual HIV budget, the most advisable strategy may be initiating ART earlier, while maintaining current strategies of PrEP enrollment.",2018-01-27389,29688862,BMC Med,Mingwang Shen,2018,16 / 1,58,No,29688862,"Mingwang Shen; Yanni Xiao; Libin Rong; Lauren Ancel Meyers; Steven E Bellan; The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco, BMC Med, 2018 Jan 30; 16(1):1741-7015; 58",QALY,United States of America,Not Stated,Pharmaceutical,Medium oral pre-exposure prophylaxis (PrEP) coverage + earlier antiretroviral therapy vs. Low pre-exposure prophylaxis coverage: 25% during 20 years,Men who have sex with men,65 Years,18 Years,Male,Full,20 Years,3.00,3.00,78811,United States,2017,83212.93
19807,The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco,"BACKGROUND: Poor adherence to either antiretroviral treatment (ART) or pre-exposure prophylaxis (PrEP) can promote drug resistance, though this risk is thought to be considerably higher for ART. In the population of men who have sex with men (MSM) in San Francisco, PrEP coverage reached 9.6% in 2014 and has continued to rise. Given the risk of drug resistance and high cost of second-line drugs, the costs and benefits of initiating ART earlier while expanding PrEP coverage remain unclear. METHODS: We develop an infection-age-structured mathematical model and fit this model to the annual incidence of AIDS cases and deaths directly, and to resistance and demographic data indirectly. We investigate the impact of six various intervention scenarios (low, medium, or high PrEP coverage, with or without earlier ART) over the next 20 years. RESULTS: Low (medium, high) PrEP coverage with earlier ART could prevent 22% (42%, 57%) of a projected 44,508 total new infections and 8% (26%, 41%) of a projected 18,426 new drug-resistant infections, and result in a gain of 43,649 (74,048, 103,270) QALYs over 20 years compared to the status quo, at a cost of $4745 ($78,811, $115,320) per QALY gained, respectively. CONCLUSIONS: High PrEP coverage with earlier ART is expected to provide the greatest benefit but also entail the highest costs among the strategies considered. This strategy is cost-effective for the San Francisco MSM population, even considering the acquisition and transmission of ART-mediated drug resistance. However, without a substantial increase to San Francisco''s annual HIV budget, the most advisable strategy may be initiating ART earlier, while maintaining current strategies of PrEP enrollment.",2018-01-27389,29688862,BMC Med,Mingwang Shen,2018,16 / 1,58,No,29688862,"Mingwang Shen; Yanni Xiao; Libin Rong; Lauren Ancel Meyers; Steven E Bellan; The cost-effectiveness of oral HIV pre-exposure prophylaxis and early antiretroviral therapy in the presence of drug resistance among men who have sex with men in San Francisco, BMC Med, 2018 Jan 30; 16(1):1741-7015; 58",QALY,United States of America,Not Stated,Pharmaceutical,High oral pre-exposure prophylaxis (PrEP) coverage + earlier antiretroviral therapy vs. Low pre-exposure prophylaxis coverage: 25% during 20 years,Not Stated,65 Years,18 Years,Male,Full,20 Years,3.00,3.00,115320,United States,2017,121761.12
19808,Cost-effectiveness of a New Opportunistic Screening Strategy for Walk-in Fingertip HbA1c Testing at Community Pharmacies in Japan,"OBJECTIVE: A new opportunistic community-based strategy was launched in Japan in April 2014 to detect lifestyle-related diseases, including diabetes, by creating Specimen Measurement Offices (SMOs). SMOs offer walk-in fingertip HbA1c testing. This article aimed to assess the value-for-money of HbA1c testing services at SMOs by conducting a cost-effectiveness analysis. RESEARCH DESIGN AND METHODS: We compared two scenarios: 1) status quo, defined as HbA1c testing that is available only through conventional screening, and 2) HbA1c testing available at SMOs as a complement to the status quo scenario. The model consisted of a screening module with a decision tree and a disease progression module with a Markov model. We calculated incremental cost-effectiveness ratios (i.e., cost per quality-adjusted life-years [QALYs]) over the lifetime analytic horizon as the primary end point of the cost-effectiveness analysis. In this model, we assumed the participant cohort to be people 40-74 years of age who sought walk-in fingertip HbA1c testing at SMOs on the premises of community pharmacies. Costs and outcomes were discounted at a rate of 3%. The cost-effectiveness was analyzed from a societal perspective. RESULTS: The incremental cost per individual for those 40-74 years of age was estimated to be -527 U.S. dollars (USD) (-52,722 Japanese yen [JPY]) for HbA1c testing at SMOs compared with the status quo. Incremental effectiveness was estimated to be 0.0203 QALYs for HbA1c testing at SMOs compared with the status quo. Therefore, this cost-effectiveness analysis showed that compared with the status quo, HbA1c testing at SMOs was more effective and had lower cost for the population studied. CONCLUSIONS: We consider our results to be robust because most simulations were under the threshold of USD 50,000 (JPY 5,000,000) per QALYs gained, by sensitivity analysis. These results will be useful to managers of pharmacies or other health institutions and/or policy makers in local government.",2018-01-27395,29686159,Diabetes Care,Aiko Shono,2018,41 / 6,1218-1226,No,29686159,"Aiko Shono; Masahide Kondo; Shu-Ling Hoshi; Reiko Okubo; Naoya Yahagi; Cost-effectiveness of a New Opportunistic Screening Strategy for Walk-in Fingertip HbA1c Testing at Community Pharmacies in Japan, Diabetes Care, 2018 Jun; 41(6):0149-5992; 1218-1226",QALY,Japan,Not Stated,Screening,Walk-in fingertip HbA1c testing available at Specimen Measurement Offices vs. Standard/Usual Care- HbA1c testing available only during Specific Health Checkup visits and conventional opportunistic screening in clinics,Not Stated,74 Years,40 Years,"Female, Male",Full,Lifetime,3.00,3.00,-25095.24,United States,2016,-27061.39
19809,Cost-effectiveness of a New Opportunistic Screening Strategy for Walk-in Fingertip HbA1c Testing at Community Pharmacies in Japan,"OBJECTIVE: A new opportunistic community-based strategy was launched in Japan in April 2014 to detect lifestyle-related diseases, including diabetes, by creating Specimen Measurement Offices (SMOs). SMOs offer walk-in fingertip HbA1c testing. This article aimed to assess the value-for-money of HbA1c testing services at SMOs by conducting a cost-effectiveness analysis. RESEARCH DESIGN AND METHODS: We compared two scenarios: 1) status quo, defined as HbA1c testing that is available only through conventional screening, and 2) HbA1c testing available at SMOs as a complement to the status quo scenario. The model consisted of a screening module with a decision tree and a disease progression module with a Markov model. We calculated incremental cost-effectiveness ratios (i.e., cost per quality-adjusted life-years [QALYs]) over the lifetime analytic horizon as the primary end point of the cost-effectiveness analysis. In this model, we assumed the participant cohort to be people 40-74 years of age who sought walk-in fingertip HbA1c testing at SMOs on the premises of community pharmacies. Costs and outcomes were discounted at a rate of 3%. The cost-effectiveness was analyzed from a societal perspective. RESULTS: The incremental cost per individual for those 40-74 years of age was estimated to be -527 U.S. dollars (USD) (-52,722 Japanese yen [JPY]) for HbA1c testing at SMOs compared with the status quo. Incremental effectiveness was estimated to be 0.0203 QALYs for HbA1c testing at SMOs compared with the status quo. Therefore, this cost-effectiveness analysis showed that compared with the status quo, HbA1c testing at SMOs was more effective and had lower cost for the population studied. CONCLUSIONS: We consider our results to be robust because most simulations were under the threshold of USD 50,000 (JPY 5,000,000) per QALYs gained, by sensitivity analysis. These results will be useful to managers of pharmacies or other health institutions and/or policy makers in local government.",2018-01-27395,29686159,Diabetes Care,Aiko Shono,2018,41 / 6,1218-1226,No,29686159,"Aiko Shono; Masahide Kondo; Shu-Ling Hoshi; Reiko Okubo; Naoya Yahagi; Cost-effectiveness of a New Opportunistic Screening Strategy for Walk-in Fingertip HbA1c Testing at Community Pharmacies in Japan, Diabetes Care, 2018 Jun; 41(6):0149-5992; 1218-1226",QALY,Japan,Not Stated,Screening,Walk-in fingertip HbA1c testing available at Specimen Measurement Offices vs. Standard/Usual Care- HbA1c testing available only during Specific Health Checkup visits and conventional opportunistic screening in clinics,Not Stated,44 Years,40 Years,"Female, Male",Full,Lifetime,3.00,3.00,-35500,United States,2016,-38281.34
19810,Cost-effectiveness of a New Opportunistic Screening Strategy for Walk-in Fingertip HbA1c Testing at Community Pharmacies in Japan,"OBJECTIVE: A new opportunistic community-based strategy was launched in Japan in April 2014 to detect lifestyle-related diseases, including diabetes, by creating Specimen Measurement Offices (SMOs). SMOs offer walk-in fingertip HbA1c testing. This article aimed to assess the value-for-money of HbA1c testing services at SMOs by conducting a cost-effectiveness analysis. RESEARCH DESIGN AND METHODS: We compared two scenarios: 1) status quo, defined as HbA1c testing that is available only through conventional screening, and 2) HbA1c testing available at SMOs as a complement to the status quo scenario. The model consisted of a screening module with a decision tree and a disease progression module with a Markov model. We calculated incremental cost-effectiveness ratios (i.e., cost per quality-adjusted life-years [QALYs]) over the lifetime analytic horizon as the primary end point of the cost-effectiveness analysis. In this model, we assumed the participant cohort to be people 40-74 years of age who sought walk-in fingertip HbA1c testing at SMOs on the premises of community pharmacies. Costs and outcomes were discounted at a rate of 3%. The cost-effectiveness was analyzed from a societal perspective. RESULTS: The incremental cost per individual for those 40-74 years of age was estimated to be -527 U.S. dollars (USD) (-52,722 Japanese yen [JPY]) for HbA1c testing at SMOs compared with the status quo. Incremental effectiveness was estimated to be 0.0203 QALYs for HbA1c testing at SMOs compared with the status quo. Therefore, this cost-effectiveness analysis showed that compared with the status quo, HbA1c testing at SMOs was more effective and had lower cost for the population studied. CONCLUSIONS: We consider our results to be robust because most simulations were under the threshold of USD 50,000 (JPY 5,000,000) per QALYs gained, by sensitivity analysis. These results will be useful to managers of pharmacies or other health institutions and/or policy makers in local government.",2018-01-27395,29686159,Diabetes Care,Aiko Shono,2018,41 / 6,1218-1226,No,29686159,"Aiko Shono; Masahide Kondo; Shu-Ling Hoshi; Reiko Okubo; Naoya Yahagi; Cost-effectiveness of a New Opportunistic Screening Strategy for Walk-in Fingertip HbA1c Testing at Community Pharmacies in Japan, Diabetes Care, 2018 Jun; 41(6):0149-5992; 1218-1226",QALY,Japan,Not Stated,Screening,Walk-in fingertip HbA1c testing available at Specimen Measurement Offices vs. Standard/Usual Care- HbA1c testing available only during Specific Health Checkup visits and conventional opportunistic screening in clinics,Not Stated,49 Years,45 Years,"Female, Male",Full,Lifetime,3.00,3.00,-30000,United States,2016,-32350.43
