index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
28801,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Chad,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,6 Years,"Female, Male",Full,,Not Stated,Not Stated,8100,United States,2011,9319.72
28802,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Congo,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,12 Years,"Female, Male",Full,,Not Stated,Not Stated,8500,United States,2011,9779.96
28803,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Congo Democratic Republic,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,12 Years,"Female, Male",Full,,Not Stated,Not Stated,18500,United States,2011,21285.79
28804,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Côte d'Ivoire,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,12 Years,"Female, Male",Full,,Not Stated,Not Stated,9800,United States,2011,11275.71
28805,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Djibouti,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,12 Years,"Female, Male",Full,,Not Stated,Not Stated,12300,United States,2011,14152.17
28806,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Eritrea,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,12 Years,"Female, Male",Full,,Not Stated,Not Stated,44600,United States,2011,51316
28807,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Ethiopia,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,12 Years,"Female, Male",Full,,Not Stated,Not Stated,13600,United States,2011,15647.93
28808,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Gabon,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,12 Years,"Female, Male",Full,,Not Stated,Not Stated,6800,United States,2011,7823.96
28809,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Gambia,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,12 Years,"Female, Male",Full,,Not Stated,Not Stated,18100,United States,2011,20825.55
28810,Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?,"OBJECTIVE: Two randomised controlled trials showed that pre-exposure prophylaxis (PrEP) reduces HIV transmission between heterosexual men and women. We model the potential impact on transmission and cost-effectiveness of providing PrEP in sub-Saharan Africa. METHODS: We use a deterministic, compartmental model of HIV transmission to evaluate the potential of a 5-year PrEP intervention targeting the adult population of 42 sub-Saharan African countries. We examine the incremental impact of adding PrEP at pre-existing levels of male circumcision and antiretroviral therapy (ART). The base case assumes efficacy of 68%; adherence at 80%; country coverage at 10% of the HIV-uninfected adult population; and annual costs of PrEP and ART at US$200 and US$880 per person, respectively. RESULTS: After 5 years, 390,000 HIV infections (95% UR 190,000 to 630,000) would be prevented, 24% of these in South Africa. HIV infections averted per 100 000 people (adult) would range from 500 in Lesotho to 10 in Somalia. Incremental cost-effectiveness would be US$5800/disability-adjusted life year (DALY) (95% UR 3100 to 13500). Cost-effectiveness would range from US$500/DALY in Lesotho to US$44 600/DALY in Eritrea. CONCLUSIONS: In a general adult population, PrEP is a high-cost intervention which will have maximum impact and be cost-effective only in countries that have high levels of HIV burden and low levels of male circumcision in the population. Hence, PrEP will likely be most effective in Southern Africa as a targeted intervention added to existing strategies to control the HIV pandemic.",2013-99-11758,23912819,Sex Transm Infect,Stephane Verguet,2013,89 / 8,,No,23912819,"Stephane Verguet; Meg Stalcup; Julia A Walsh; Where to deploy pre-exposure prophylaxis (PrEP) in sub-Saharan Africa?, Sex Transm Infect, 2013 Dec; 89(8):1368-4973",DALY,Ghana,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Pre-exposure prophylaxis (PrEP) for reducing HIV transmission vs. Standard/Usual Care- pre-existing male circumcision levels, antiretroviral therapy (ART) & codom use",Not Stated,64 Years,12 Years,"Female, Male",Full,,Not Stated,Not Stated,18800,United States,2011,21630.96
