index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
17601,An initial cost-effectiveness analysis of intraoperative magnetic resonance imaging (iMRI) in pediatric epilepsy surgery,"PURPOSE: Previous studies have illustrated the clinical utility of the addition of intraoperative magnetic resonance imaging (iMRI) to conventional microsurgical resection. While iMRI requires initial capital cost investment, long-term reduction in costly follow-up management and reoperation costs may prove economically efficacious. The objective of this study is to investigate the cost-effectiveness of the addition of iMRI utilization versus conventional microsurgical techniques in focal cortical dysplasia (FCD) resection in pediatric patients with medically refractory epilepsy. METHODS: We retrospectively reviewed the medical records of pediatric subjects who underwent surgical resection of FCD at the Children''s National Health System between March 2005 and April 2015. Patients were assigned to one of three cohorts: iMRI-assisted resection, conventional resection with iMRI-assisted reoperation, or conventional resection. Direct costs included preoperative, operative, postoperative, long-term follow-up, and antiepileptic drug (AED) costs. The cost-effectiveness was calculated as the sum total of all direct medical costs over the quality-adjusted life years (QALYs). We also performed sensitivity analysis on numerous variables to assess the validity of our results. RESULTS: Fifty-six consecutive pediatric patients underwent resective surgery for medically intractable FCD. Ten patients underwent iMRI-assisted resection; 7 underwent conventional resection followed by iMRI-assisted reoperation; 39 patients underwent conventional microsurgical resection. Taken over the lifetime of the patient, the cumulative discounted QALY of patients in the iMRI-assisted resection cohort was about 2.91 years, versus 2.61 years in the conventional resection with iMRI-assisted reoperation cohort, and 1.76 years for the conventional resection cohort. Adjusting for inflation, iMRI-assisted surgeries have a cost-effectiveness ratio of $16,179 per QALY, versus $28,514 per QALY for the conventional resection with iMRI-assisted reoperation cohort, and $49,960 per QALY for the conventional resection cohort. Sensitivity analysis demonstrated that no one single variable significantly altered cost-effectiveness across all three cohorts compared to the baseline results. CONCLUSION: The addition of iMRI to conventional microsurgical techniques for resection of FCD in pediatric patients with intractable epilepsy resulted in increased seizure freedom and reduction in long-term direct medical costs compared to conventional surgeries. Our data suggests that iMRI may be a cost-effective addition to the surgical armamentarium for epilepsy surgery.",2017-01-24172,29159426,Childs Nerv Syst,Matthew F Sacino,2017,/,,No,29159426,"Matthew F Sacino; Sean S Huang; Robert F Keating; William D Gaillard; Chima O Oluigbo; An initial cost-effectiveness analysis of intraoperative magnetic resonance imaging (iMRI) in pediatric epilepsy surgery, Childs Nerv Syst, 2017 Nov 20; ():1433-0350",QALY,United States of America,Not Stated,Not Stated,Initial conventional microsurgical resection followed by iMRI-assisted reoperation vs. None,pediatric patients presenting for surgery for medically intractable epilepsy secondary to FCD,18 Years,Not Stated,"Female, Male",Full,Lifetime,5.00,5.00,28514,United States,2016,30748.01
17602,An initial cost-effectiveness analysis of intraoperative magnetic resonance imaging (iMRI) in pediatric epilepsy surgery,"PURPOSE: Previous studies have illustrated the clinical utility of the addition of intraoperative magnetic resonance imaging (iMRI) to conventional microsurgical resection. While iMRI requires initial capital cost investment, long-term reduction in costly follow-up management and reoperation costs may prove economically efficacious. The objective of this study is to investigate the cost-effectiveness of the addition of iMRI utilization versus conventional microsurgical techniques in focal cortical dysplasia (FCD) resection in pediatric patients with medically refractory epilepsy. METHODS: We retrospectively reviewed the medical records of pediatric subjects who underwent surgical resection of FCD at the Children''s National Health System between March 2005 and April 2015. Patients were assigned to one of three cohorts: iMRI-assisted resection, conventional resection with iMRI-assisted reoperation, or conventional resection. Direct costs included preoperative, operative, postoperative, long-term follow-up, and antiepileptic drug (AED) costs. The cost-effectiveness was calculated as the sum total of all direct medical costs over the quality-adjusted life years (QALYs). We also performed sensitivity analysis on numerous variables to assess the validity of our results. RESULTS: Fifty-six consecutive pediatric patients underwent resective surgery for medically intractable FCD. Ten patients underwent iMRI-assisted resection; 7 underwent conventional resection followed by iMRI-assisted reoperation; 39 patients underwent conventional microsurgical resection. Taken over the lifetime of the patient, the cumulative discounted QALY of patients in the iMRI-assisted resection cohort was about 2.91 years, versus 2.61 years in the conventional resection with iMRI-assisted reoperation cohort, and 1.76 years for the conventional resection cohort. Adjusting for inflation, iMRI-assisted surgeries have a cost-effectiveness ratio of $16,179 per QALY, versus $28,514 per QALY for the conventional resection with iMRI-assisted reoperation cohort, and $49,960 per QALY for the conventional resection cohort. Sensitivity analysis demonstrated that no one single variable significantly altered cost-effectiveness across all three cohorts compared to the baseline results. CONCLUSION: The addition of iMRI to conventional microsurgical techniques for resection of FCD in pediatric patients with intractable epilepsy resulted in increased seizure freedom and reduction in long-term direct medical costs compared to conventional surgeries. Our data suggests that iMRI may be a cost-effective addition to the surgical armamentarium for epilepsy surgery.",2017-01-24172,29159426,Childs Nerv Syst,Matthew F Sacino,2017,/,,No,29159426,"Matthew F Sacino; Sean S Huang; Robert F Keating; William D Gaillard; Chima O Oluigbo; An initial cost-effectiveness analysis of intraoperative magnetic resonance imaging (iMRI) in pediatric epilepsy surgery, Childs Nerv Syst, 2017 Nov 20; ():1433-0350",QALY,United States of America,Not Stated,Not Stated,Conventional resection followed by iMRI-assisted reoperation vs. None,pediatric patients presenting for surgery for medically intractable epilepsy secondary to FCD,18 Years,Not Stated,"Female, Male",Full,Lifetime,5.00,5.00,49960,United States,2016,53874.25
17603,Cost-Effectiveness of Publicly Funded Treatment of Opioid Use Disorder in California,"Background: Only 1 in 5 of the nearly 2.4 million Americans with an opioid use disorder received treatment in 2015. Fewer than half of Californians who received treatment in 2014 received opioid agonist treatment (OAT), and regulations for admission to OAT in California are more stringent than federal regulations. Objective: To determine the cost-effectiveness of OAT for all treatment recipients compared with the observed standard of care for patients presenting with opioid use disorder to California''s publicly funded treatment facilities. Design: Model-based cost-effectiveness analysis. Data Sources: Linked population-level administrative databases capturing treatment and criminal justice records for California (2006 to 2010); published literature. Target Population: Persons initially presenting for publicly funded treatment of opioid use disorder. Time Horizon: Lifetime. Perspective: Societal. Intervention: Immediate access to OAT with methadone for all treatment recipients compared with the observed standard of care (54.3% initiate opioid use disorder treatment with medically managed withdrawal). Outcome Measures: Discounted quality-adjusted life-years (QALYs) and discounted costs. Results of Base-Case Analysis: Immediate access to OAT for all treatment recipients costs less (by $78 257), with patients accumulating more QALYs (by 0.42) than with the observed standard of care. In a hypothetical scenario where all Californians starting treatment of opioid use disorder in 2014 had immediate access to OAT, total lifetime savings for this cohort could be as high as $3.8 billion. Results of Sensitivity Analysis: 99.6% of the 2000 simulations resulted in lower costs and more QALYs. Limitation: Nonrandomized delivery of OAT or medically managed withdrawal. Conclusion: The value of publicly funded treatment of opioid use disorder in California is maximized when OAT is delivered to all patients presenting for treatment, providing greater health benefits and cost savings than the observed standard of care. Primary Funding Source: National Institute on Drug Abuse.",2017-01-24174,29159398,Ann Intern Med,Emanuel Krebs,2017,/,,No,29159398,"Emanuel Krebs; Benjamin Enns; Elizabeth Evans; Darren Urada; M Douglas Anglin; Richard A Rawson; Yih-Ing Hser; Bohdan Nosyk; Cost-Effectiveness of Publicly Funded Treatment of Opioid Use Disorder in California, Ann Intern Med, 2017 Nov 21; ():1539-3704",QALY,United States of America,Not Stated,Not Stated,"Immediate access to opioid agonist treatment with methadone of unrestricted duration (initial OAT) vs. Standard/Usual Care- Observed California care: mandated, short-term, medically managed withdrawal",35-year-old patients receiving initial treatment of opioid use disorder,35 Years,35 Years,"Female, Male",Full,Lifetime,3.00,3.00,-190870.73,United States,2016,-205825.02
17604,Cost-Effectiveness of Publicly Funded Treatment of Opioid Use Disorder in California,"Background: Only 1 in 5 of the nearly 2.4 million Americans with an opioid use disorder received treatment in 2015. Fewer than half of Californians who received treatment in 2014 received opioid agonist treatment (OAT), and regulations for admission to OAT in California are more stringent than federal regulations. Objective: To determine the cost-effectiveness of OAT for all treatment recipients compared with the observed standard of care for patients presenting with opioid use disorder to California''s publicly funded treatment facilities. Design: Model-based cost-effectiveness analysis. Data Sources: Linked population-level administrative databases capturing treatment and criminal justice records for California (2006 to 2010); published literature. Target Population: Persons initially presenting for publicly funded treatment of opioid use disorder. Time Horizon: Lifetime. Perspective: Societal. Intervention: Immediate access to OAT with methadone for all treatment recipients compared with the observed standard of care (54.3% initiate opioid use disorder treatment with medically managed withdrawal). Outcome Measures: Discounted quality-adjusted life-years (QALYs) and discounted costs. Results of Base-Case Analysis: Immediate access to OAT for all treatment recipients costs less (by $78 257), with patients accumulating more QALYs (by 0.42) than with the observed standard of care. In a hypothetical scenario where all Californians starting treatment of opioid use disorder in 2014 had immediate access to OAT, total lifetime savings for this cohort could be as high as $3.8 billion. Results of Sensitivity Analysis: 99.6% of the 2000 simulations resulted in lower costs and more QALYs. Limitation: Nonrandomized delivery of OAT or medically managed withdrawal. Conclusion: The value of publicly funded treatment of opioid use disorder in California is maximized when OAT is delivered to all patients presenting for treatment, providing greater health benefits and cost savings than the observed standard of care. Primary Funding Source: National Institute on Drug Abuse.",2017-01-24174,29159398,Ann Intern Med,Emanuel Krebs,2017,/,,No,29159398,"Emanuel Krebs; Benjamin Enns; Elizabeth Evans; Darren Urada; M Douglas Anglin; Richard A Rawson; Yih-Ing Hser; Bohdan Nosyk; Cost-Effectiveness of Publicly Funded Treatment of Opioid Use Disorder in California, Ann Intern Med, 2017 Nov 21; ():1539-3704",QALY,United States of America,Not Stated,Not Stated,"Immediate access to opioid agonist treatment with methadone of unrestricted duration (initial OAT) vs. California clinical guidelines, which require documentation of 2 or more failed treatments with medically managed withdrawal before opioid agonist treatment with methadone",35-year-old patients receiving initial treatment of opioid use disorder,35 Years,35 Years,"Female, Male",Full,Lifetime,3.00,3.00,-226405.48,United States,2016,-244143.83
17605,Cost-Effectiveness of Endoscopic Versus Microscopic Transsphenoidal Surgery for Pituitary Adenoma,"Background: Endoscopic transsphenoidal surgery (ETPS) has become increasingly popular for resection of pituitary tumors, whereas microscopic transsphenoidal surgery (MTPS) also remains a commonly used approach. The economic sustainability of new techniques and technologies is rarely evaluated in the neurosurgical skull base literature. The aim of this study was to determine the cost-effectiveness of ETPS compared with MTPS. Methods: A Markov model was constructed to conduct a cost-utility analysis of ETPS versus MTPS from a single-payer health care perspective. Data were obtained from previously published outcomes studies. Costs were based on Medicare reimbursement rates, considering covariates such as complications, length of stay, and operative time. The base case adopted a 2-year follow-up period. Univariate and multivariate sensitivity analyses were conducted. Results: On average, ETPS costs $143 less and generates 0.014 quality-adjusted life years (QALYs) compared with MTPS over 2 years. The incremental cost-effectiveness ratio (ICER) is -$10,214 per QALY, suggesting economic dominance. The QALY benefit increased to 0.105 when modeled to 10 years, suggesting that ETPS becomes even more favorable over time. Conclusions: ETPS appears to be cost-effective when compared with MTPS because the ICER falls below the commonly accepted $50,000 per QALY benchmark. Model limitations and assumptions affect the generalizability of the conclusion; however, ongoing efforts to improve rhinologic morbidity related to ETPS would appear to further augment the marginal cost savings and QALYs gained. Further research on the cost-effectiveness of ETPS using prospective data is warranted.",2017-01-24176,29158096,World Neurosurg,Jared D Ament,2017,/,,No,29158096,"Jared D Ament; Zhuo Yang; Vic Khatchadourian; Edward B Strong; Kiarash Shahlaie; Cost-Effectiveness of Endoscopic Versus Microscopic Transsphenoidal Surgery for Pituitary Adenoma, World Neurosurg , 2017 Mar 30; ():1878-8750",QALY,United States of America,Not Stated,Not Stated,Endoscopic transsphenoidal surgery vs. Microscopic Transsphenoidal Surgery,45 year old patient with pituitary pathology that had a planned primary or secondary transsphenoidal surgery in the outpatient neurosurgical setting,45 Years,45 Years,"Female, Male",Full,2 Years,3.00,3.00,-10214.3,United States,2014,-11166.76
17606,Cost-utility of empagliflozin in patients with type 2 diabetes at high cardiovascular risk,"AIMS: In the Empagliflozin, Cardiovascular Outcomes, and Mortality in Type 2 Diabetes (EMPA-REG) trial, empagliflozin reduced cardiovascular and all-cause mortality in type 2 diabetes (T2D) patients at high cardiovascular risk. We sought to estimate the cost-effectiveness of empagliflozin versus standard treatment for the prevention of cardiovascular morbidity and mortality in patients with T2D. METHODS: A Markov model was developed to assess the cost-effectiveness of empagliflozin (versus standard treatment) for the prevention of cardiovascular morbidity and mortality in patients with T2D using a 3-month cycle length and a lifetime horizon. Data sources included the EMPA-REG randomized clinical trial and other published epidemiological studies. Outcomes included treatment costs (in 2016 US$), quality-adjusted life-years (QALYs) and incremental cost-effectiveness ratios (ICERs). Probabilistic sensitivity analysis (PSA) was performed to test the robustness of conclusions. RESULTS: Empagliflozin use resulted in higher total lifetime treatment costs ($371,450 versus $272,966) but yielded greater QALYs (10.712 vs. 9.419) compared to standard treatment. This corresponded to an ICER of $76,167 per QALY gained. PSA suggested empagliflozin would be cost-effective in 96% of 10,000 iterations assuming a willingness-to-pay threshold of $100,000 per QALY gained. CONCLUSION: Empagliflozin may be cost-effective compared to standard treatment in T2D patients at high cardiovascular risk.",2017-01-24177,29157870,J Diabetes Complications,Elaine Nguyen,2017,/,,No,29157870,"Elaine Nguyen; Craig I Coleman; Suresh Nair; Erin R Weeda; Cost-utility of empagliflozin in patients with type 2 diabetes at high cardiovascular risk, J Diabetes Complications, 2017 Apr 13; ():1873-460X",QALY,United States of America,Not Stated,Not Stated,Empagliflozin vs. Standard/Usual Care,At high cardiovascular risk,63 Years,63 Years,"Female, Male",Full,"Lifetime, 3-40 years, 10 year increments",3.00,3.00,76167,United States,2016,82134.51
17607,Cost effectiveness of transcatheter aortic valve implantation in patients with aortic stenosis in Japan,"BACKGROUND: Transcatheter aortic valve implantation (TAVI) is a less invasive treatment for elderly patients with aortic stenosis. However, the cost of TAVI is a major issue. This study analyzed the cost effectiveness of TAVI in Japan. METHODS: We developed an economic model to evaluate the quality-adjusted life years (QALYs) and costs of TAVI, surgical aortic valve replacement (SAVR), and medical therapy over a 10-year time horizon from the perspective of Japanese public healthcare payers. The first model compared transapical or transfemoral TAVI with Sapien valve implantation and medical therapy in inoperable patients. The second model compared transfemoral TAVI with Sapien XT valve implantation and SAVR in operable patients with intermediate surgical risk. We assumed a cost-effectiveness threshold of 5,000,000yen per QALY, and assessed the cost-effectiveness probability with 100,000 simulations. We performed a broad sensitivity analysis to assess the effect of uncertainty on our results. RESULTS: Among inoperable patients, the incremental cost-effectiveness ratio for TAVI compared with medical therapy was 3,918,808yen per QALY. In operable patients, the incremental cost-effectiveness ratio for TAVI compared with SAVR was 7,523,821yen per QALY. The cost-effectiveness probability of TAVI was 60% for inoperable patients and 46% for operable patients. Among inoperable patients, the cost-effective threshold of TAVI was <7,759,085yen. Among operable patients, the cost-effective threshold of TAVI was <5,427,439yen. CONCLUSIONS: This study suggests that TAVI has good cost effectiveness for inoperable patients, but not for operable patients.",2017-01-24186,29153740,Dentomaxillofac Radiol,Satoshi Kodera,2017,/,,No,29153740,"Satoshi Kodera; Arihiro Kiyosue; Jiro Ando; Issei Komuro; Cost effectiveness of transcatheter aortic valve implantation in patients with aortic stenosis in Japan, Dentomaxillofac Radiol, 2017 Nov 16; ():0250-832X",QALY,Japan,Not Stated,Not Stated,Transcatheter aortic valve implantation (TAVI) vs. Standard/Usual Care- Medical Therapy,Inoperable patients (30-day mortality and morbidity rate of >50%),Not Stated,19 Years,"Female, Male",Full,10 Years,2.00,2.00,3918808,Japan,2016,38949.55
17608,Cost effectiveness of transcatheter aortic valve implantation in patients with aortic stenosis in Japan,"BACKGROUND: Transcatheter aortic valve implantation (TAVI) is a less invasive treatment for elderly patients with aortic stenosis. However, the cost of TAVI is a major issue. This study analyzed the cost effectiveness of TAVI in Japan. METHODS: We developed an economic model to evaluate the quality-adjusted life years (QALYs) and costs of TAVI, surgical aortic valve replacement (SAVR), and medical therapy over a 10-year time horizon from the perspective of Japanese public healthcare payers. The first model compared transapical or transfemoral TAVI with Sapien valve implantation and medical therapy in inoperable patients. The second model compared transfemoral TAVI with Sapien XT valve implantation and SAVR in operable patients with intermediate surgical risk. We assumed a cost-effectiveness threshold of 5,000,000yen per QALY, and assessed the cost-effectiveness probability with 100,000 simulations. We performed a broad sensitivity analysis to assess the effect of uncertainty on our results. RESULTS: Among inoperable patients, the incremental cost-effectiveness ratio for TAVI compared with medical therapy was 3,918,808yen per QALY. In operable patients, the incremental cost-effectiveness ratio for TAVI compared with SAVR was 7,523,821yen per QALY. The cost-effectiveness probability of TAVI was 60% for inoperable patients and 46% for operable patients. Among inoperable patients, the cost-effective threshold of TAVI was <7,759,085yen. Among operable patients, the cost-effective threshold of TAVI was <5,427,439yen. CONCLUSIONS: This study suggests that TAVI has good cost effectiveness for inoperable patients, but not for operable patients.",2017-01-24186,29153740,Dentomaxillofac Radiol,Satoshi Kodera,2017,/,,No,29153740,"Satoshi Kodera; Arihiro Kiyosue; Jiro Ando; Issei Komuro; Cost effectiveness of transcatheter aortic valve implantation in patients with aortic stenosis in Japan, Dentomaxillofac Radiol, 2017 Nov 16; ():0250-832X",QALY,Japan,Not Stated,Not Stated,Transcatheter aortic valve implantation (TAVI) vs. Surgical aortic valve replacement (SAVR),Operable patients with intermediate surgical risk (30-day mortality rate of 4%–8%),Not Stated,19 Years,"Female, Male",Full,10 Years,2.00,2.00,7523821,Japan,2016,74780.24
17609,Cost Effectiveness of a Shingles Vaccine Booster for Currently Vaccinated Adults in the U.S,"INTRODUCTION: The Advisory Committee on Immunization Practices recommends a single dose of the live attenuated herpes zoster vaccine in people aged >/=60 years. Because vaccine-induced protection decreases to zero after 10 years, many vaccinated people will soon be subject to an increased risk of the disease. The study objective was to determine the cost effectiveness of a herpes zoster vaccine booster and its optimal timing among immunocompetent adults first vaccinated at aged >/=60 years. METHODS: A Markov model was built to follow vaccinated individuals for a lifetime. From the societal perspective, costs and quality-adjusted life years were compared between no booster versus booster options. A booster was given any time between 1 and 20 years after the first dose, and for those who had the first dose at different ages: 60, 70, and 80 years. Because people entered the model already vaccinated, costs and side effects of the first dose were not included. The booster was assumed to have the same efficacy and waning rate as the initial vaccination. Model inputs were based on published literature. A cost effectiveness threshold of $100,000/quality-adjusted life year was used. The analysis was conducted in 2016. RESULTS: Cost effectiveness of a booster varied by age and time since vaccination. The booster cost <$100,000/quality-adjusted life year if given >5 years after the initial dose, but was most cost effective at around 10 years. The finding was robust to wide variations in model inputs. CONCLUSIONS: Under current assumptions, a booster dose of herpes zoster vaccine would be cost effective for all vaccinated people 10 years after initial vaccination.",2017-01-24188,29153126,Am J Prev Med,Phuc Le,2017,53 / 6,829-836,No,29153126,"Phuc Le; Michael B Rothberg; Cost Effectiveness of a Shingles Vaccine Booster for Currently Vaccinated Adults in the U.S, Am J Prev Med, 2017 Dec; 53(6):0749-3797; 829-836",QALY,United States of America,Not Stated,Not Stated,Herpes zoster virus vaccine booster at 10 years vs. None,Vaccinated with single dose of herpes zoster virus vaccine (HZV) at age 60,Not Stated,60 Years,"Female, Male",Full,Lifetime,3.00,3.00,32950,United States,2014,36022.5
17610,Cost Effectiveness of a Shingles Vaccine Booster for Currently Vaccinated Adults in the U.S,"INTRODUCTION: The Advisory Committee on Immunization Practices recommends a single dose of the live attenuated herpes zoster vaccine in people aged >/=60 years. Because vaccine-induced protection decreases to zero after 10 years, many vaccinated people will soon be subject to an increased risk of the disease. The study objective was to determine the cost effectiveness of a herpes zoster vaccine booster and its optimal timing among immunocompetent adults first vaccinated at aged >/=60 years. METHODS: A Markov model was built to follow vaccinated individuals for a lifetime. From the societal perspective, costs and quality-adjusted life years were compared between no booster versus booster options. A booster was given any time between 1 and 20 years after the first dose, and for those who had the first dose at different ages: 60, 70, and 80 years. Because people entered the model already vaccinated, costs and side effects of the first dose were not included. The booster was assumed to have the same efficacy and waning rate as the initial vaccination. Model inputs were based on published literature. A cost effectiveness threshold of $100,000/quality-adjusted life year was used. The analysis was conducted in 2016. RESULTS: Cost effectiveness of a booster varied by age and time since vaccination. The booster cost <$100,000/quality-adjusted life year if given >5 years after the initial dose, but was most cost effective at around 10 years. The finding was robust to wide variations in model inputs. CONCLUSIONS: Under current assumptions, a booster dose of herpes zoster vaccine would be cost effective for all vaccinated people 10 years after initial vaccination.",2017-01-24188,29153126,Am J Prev Med,Phuc Le,2017,53 / 6,829-836,No,29153126,"Phuc Le; Michael B Rothberg; Cost Effectiveness of a Shingles Vaccine Booster for Currently Vaccinated Adults in the U.S, Am J Prev Med, 2017 Dec; 53(6):0749-3797; 829-836",QALY,United States of America,Not Stated,Not Stated,Herpes zoster virus vaccine booster at 10 years vs. None,Vaccinated with single dose of herpes zoster virus vaccine (HZV) at age 70,Not Stated,70 Years,"Female, Male",Full,Lifetime,3.00,3.00,40150,United States,2014,43893.88
