index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
14301,The prospective evaluation of the TB strain typing service in England: a mixed methods study,"BACKGROUND: In response to rising TB notification rates in England, universal strain typing was introduced in 2010. We evaluated the acceptability, effectiveness and cost-effectiveness of the TB strain typing service (TB-STS). METHODS: We conducted a mixed-methods evaluation using routine laboratory, clinic and public health data. We estimated the effect of the TB-STS on detection of false positive Mycobacterium tuberculosis diagnoses (2010-2012); contact tracing yield (number of infections or active disease per pulmonary TB case); and diagnostic delay. We developed a deterministic age-structured compartmental model to explore the effectiveness of the TB-STS, which informed a cost-effectiveness analysis. RESULTS: Semi-structured interviews explored user experience. Strain typing identified 17 additional false positive diagnoses. The TB-STS had no significant effect on contact tracing yield or diagnostic delay. Mathematical modelling suggested increasing the proportion of infections detected would have little value in reducing TB incidence in the white UK-born population. However, in the non-white UK-born and non-UK-born populations, over 20 years, if detection of latent infection increases from 3% to 13% per year, then TB incidence would decrease by 11%; reducing diagnostic delay by one week could lead to 25% reduction in incidence. The current TB-STS was not predicted to be cost-effective over 20 years ( pound95 628/quality-adjusted life-years). Interviews found people had mixed experiences, but identified broader benefits, of the TB-STS. CONCLUSIONS: To reduce costs, improve efficiency and increase effectiveness, we recommend changes to the TB-STS, including discontinuing routine cluster investigations and focusing on reducing diagnostic delay across the TB programme. This evaluation of a complex intervention informs the future of strain typing in the era of rapidly advancing technologies.",2015-01-18278,25882538,Thorax,J Mears,2016,71 / 8,,No,25882538,"J Mears; E Vynnycky; J Lord; M W Borgdorff; T Cohen; D Crisp; J A Innes; M Lilley; H Maguire; T D McHugh; G Woltmann; I Abubakar; P Sonnenberg; The prospective evaluation of the TB strain typing service in England: a mixed methods study, Thorax, 2016 Aug; 71(8):0040-6376",QALY,United Kingdom,Not Stated,Not Stated,Universal tuberculosis strain typing service vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,20 Years,3.50,3.50,95628,United Kingdom,2013,166178.78
14302,Cost-effectiveness analysis of the available pneumococcal conjugated vaccines for children under five years in Colombia,"BACKGROUND: Pneumococcal diseases in children under five years are common and preventable. In Colombia there are two pneumococcal conjugate vaccines (PCV) that have proved clinical efficacy. The aim was to estimate the cost-effectiveness of 13-valent PCV (PCV13) and 10-valent PCV (PCV10) in terms of prevention of Invasive Pneumococcal Diseases (IPD), radiologically-confirmed pneumonia, and their related mortality, as well as, acute otitis media (AOM) in a cohort of newborns in Colombia. METHODS: We developed an analytical decision tree model with national data including the distribution of pneumococcal serotypes in Colombia between 2009 and 2013. A simulation of vaccination of 90% of newborns in Colombia took place with a time horizon of 5 years. The analysis was done from the Colombian health system perspective. Vaccines efficacy parameters were measured as life-years gained (LYG) and avoided morbidity by pneumococcal diseases; they were determined by a systematic review of literature. A health insurance company provided the costs. A probabilistic and a univariate sensitivity analysis for epidemiological, efficacy and cost parameters were done. RESULTS: After 5 years projection, PCV13 would prevent 437 deaths due to pneumococcal infections versus 321 that would be prevented by PCV10, compared to no vaccination. PCV13 would generate 25 396 LYG, and PCV10 would generate 18 708 LYG. Medical costs avoided would be US$ 19 479 395 for PCV13 and US$ 13 703 271 for PCV10. Compared to no vaccination, PCV13 and PCV10 were cost-effective, with an incremental cost-effectiveness ratio (ICER) of US$ 489.26 and US$ 813.41 per additional LYG, respectively; besides, PCV13 was dominant over PCV10 due to lower costs and better outcomes. CONCLUSION: PCV13 is a cost-saving strategy compared with PCV10, as part of a universal coverage vaccination program in Colombian children under one year. PCV13 is expected to lead to a greater decrement in infant mortality from pneumococcal diseases, and a higher cost saving by preventing more pneumococcal diseases compared with PCV10 in a 5 years projection.",2015-01-18297,25878563,Int J Cardiol,Jaime E Ordonez,2015,13 /,6,No,25878563,"Jaime E Ordonez; John Jairo Orozco; Cost-effectiveness analysis of the available pneumococcal conjugated vaccines for children under five years in Colombia, Int J Cardiol, 2015; 13():1874-1754; 6",QALY,Colombia,Not Stated,Not Stated,13-valent pneumococcal conjugate vaccines (PCV13) vs. 10-valent pneumococcal conjugate vaccines (PCV10),Not Stated,4 Years,Not Stated,"Female, Male",Full,5 Years,3.00,3.00,Not Stated,Colombia,2013,Not Stated
14303,Cost-effectiveness analysis of the available pneumococcal conjugated vaccines for children under five years in Colombia,"BACKGROUND: Pneumococcal diseases in children under five years are common and preventable. In Colombia there are two pneumococcal conjugate vaccines (PCV) that have proved clinical efficacy. The aim was to estimate the cost-effectiveness of 13-valent PCV (PCV13) and 10-valent PCV (PCV10) in terms of prevention of Invasive Pneumococcal Diseases (IPD), radiologically-confirmed pneumonia, and their related mortality, as well as, acute otitis media (AOM) in a cohort of newborns in Colombia. METHODS: We developed an analytical decision tree model with national data including the distribution of pneumococcal serotypes in Colombia between 2009 and 2013. A simulation of vaccination of 90% of newborns in Colombia took place with a time horizon of 5 years. The analysis was done from the Colombian health system perspective. Vaccines efficacy parameters were measured as life-years gained (LYG) and avoided morbidity by pneumococcal diseases; they were determined by a systematic review of literature. A health insurance company provided the costs. A probabilistic and a univariate sensitivity analysis for epidemiological, efficacy and cost parameters were done. RESULTS: After 5 years projection, PCV13 would prevent 437 deaths due to pneumococcal infections versus 321 that would be prevented by PCV10, compared to no vaccination. PCV13 would generate 25 396 LYG, and PCV10 would generate 18 708 LYG. Medical costs avoided would be US$ 19 479 395 for PCV13 and US$ 13 703 271 for PCV10. Compared to no vaccination, PCV13 and PCV10 were cost-effective, with an incremental cost-effectiveness ratio (ICER) of US$ 489.26 and US$ 813.41 per additional LYG, respectively; besides, PCV13 was dominant over PCV10 due to lower costs and better outcomes. CONCLUSION: PCV13 is a cost-saving strategy compared with PCV10, as part of a universal coverage vaccination program in Colombian children under one year. PCV13 is expected to lead to a greater decrement in infant mortality from pneumococcal diseases, and a higher cost saving by preventing more pneumococcal diseases compared with PCV10 in a 5 years projection.",2015-01-18297,25878563,Int J Cardiol,Jaime E Ordonez,2015,13 /,6,No,25878563,"Jaime E Ordonez; John Jairo Orozco; Cost-effectiveness analysis of the available pneumococcal conjugated vaccines for children under five years in Colombia, Int J Cardiol, 2015; 13():1874-1754; 6",QALY,Colombia,Not Stated,Not Stated,13-valent pneumococcal conjugate vaccines (PCV13) vs. None,Not Stated,4 Years,Not Stated,"Female, Male",Full,5 Years,3.00,3.00,Not Stated,Colombia,2013,Not Stated
14304,Cost-effectiveness analysis of the available pneumococcal conjugated vaccines for children under five years in Colombia,"BACKGROUND: Pneumococcal diseases in children under five years are common and preventable. In Colombia there are two pneumococcal conjugate vaccines (PCV) that have proved clinical efficacy. The aim was to estimate the cost-effectiveness of 13-valent PCV (PCV13) and 10-valent PCV (PCV10) in terms of prevention of Invasive Pneumococcal Diseases (IPD), radiologically-confirmed pneumonia, and their related mortality, as well as, acute otitis media (AOM) in a cohort of newborns in Colombia. METHODS: We developed an analytical decision tree model with national data including the distribution of pneumococcal serotypes in Colombia between 2009 and 2013. A simulation of vaccination of 90% of newborns in Colombia took place with a time horizon of 5 years. The analysis was done from the Colombian health system perspective. Vaccines efficacy parameters were measured as life-years gained (LYG) and avoided morbidity by pneumococcal diseases; they were determined by a systematic review of literature. A health insurance company provided the costs. A probabilistic and a univariate sensitivity analysis for epidemiological, efficacy and cost parameters were done. RESULTS: After 5 years projection, PCV13 would prevent 437 deaths due to pneumococcal infections versus 321 that would be prevented by PCV10, compared to no vaccination. PCV13 would generate 25 396 LYG, and PCV10 would generate 18 708 LYG. Medical costs avoided would be US$ 19 479 395 for PCV13 and US$ 13 703 271 for PCV10. Compared to no vaccination, PCV13 and PCV10 were cost-effective, with an incremental cost-effectiveness ratio (ICER) of US$ 489.26 and US$ 813.41 per additional LYG, respectively; besides, PCV13 was dominant over PCV10 due to lower costs and better outcomes. CONCLUSION: PCV13 is a cost-saving strategy compared with PCV10, as part of a universal coverage vaccination program in Colombian children under one year. PCV13 is expected to lead to a greater decrement in infant mortality from pneumococcal diseases, and a higher cost saving by preventing more pneumococcal diseases compared with PCV10 in a 5 years projection.",2015-01-18297,25878563,Int J Cardiol,Jaime E Ordonez,2015,13 /,6,No,25878563,"Jaime E Ordonez; John Jairo Orozco; Cost-effectiveness analysis of the available pneumococcal conjugated vaccines for children under five years in Colombia, Int J Cardiol, 2015; 13():1874-1754; 6",QALY,Colombia,Not Stated,Not Stated,10-valent pneumococcal conjugate vaccines (PCV10) vs. None,Not Stated,4 Years,Not Stated,"Female, Male",Full,5 Years,3.00,3.00,Not Stated,Colombia,2013,Not Stated
14305,Frontline rituximab monotherapy induction versus a watch and wait approach for asymptomatic advanced-stage follicular lymphoma: A cost-effectiveness analysis,"BACKGROUND: A watch and wait (WW) strategy is the standard of care for patients with asymptomatic advanced-stage follicular lymphoma. Recent data have demonstrated an improvement in the time to progression with rituximab induction (RI) with or without rituximab maintenance (RM) in comparison with a WW strategy wait in such patients. It remains unclear whether this is a cost-effective strategy. METHODS: A Markov decision analysis model was developed to compare the clinical outcomes, costs, and cost-effectiveness of RI (4 weekly doses) plus RM (12 doses every 2 months), RI (4 weekly doses), and a WW strategy for patients newly diagnosed with low-burden, asymptomatic advanced-stage follicular lymphoma over a lifetime horizon. Baseline probabilities and utilities were derived from a systematic review of published studies, and they were evaluated on a 6-month cycle. A Canadian public health payer's perspective was adopted, and costs were presented in 2012 Canadian dollars. RESULTS: RI was the cheapest strategy. It was less costly at $59,953 versus $67,489 for the RM arm and $75,895 for the WW arm. It was also associated with a slightly lower quality-adjusted life expectancy at 6.16 quality-adjusted life years (QALYs) versus 6.28 QALYs for the RM strategy but was superior to WW (5.71 QALYs). In sensitivity analyses of key variables, this effectiveness was sensitive to the probability of first and second progression in the RI arm, and this indicated relatively neutral effectiveness between the 2 rituximab arms. CONCLUSIONS: RI without maintenance for asymptomatic advanced-stage follicular lymphoma is the preferred strategy: it minimizes costs per patient over a lifetime horizon.",2015-01-18302,25877511,Cancer,Anca Prica,2015,121 / 15,2637-45,No,25877511,"Anca Prica; Kelvin Chan; Matthew Cheung; Frontline rituximab monotherapy induction versus a watch and wait approach for asymptomatic advanced-stage follicular lymphoma: A cost-effectiveness analysis, Cancer, 2015 Aug 1; 121(15):0008-543X; 2637-45",QALY,Canada,Not Stated,Not Stated,Rituximab induction + rituximab maintenance strategy vs. rituximab induction,"patients with newly diagnosed, untreated, lowburden, asymptomatic advanced-stage follicular lymphoma.",60 Years,60 Years,"Female, Male",Full,30 Years,5.00,5.00,62360,Canada,2012,70311.79
14306,Frontline rituximab monotherapy induction versus a watch and wait approach for asymptomatic advanced-stage follicular lymphoma: A cost-effectiveness analysis,"BACKGROUND: A watch and wait (WW) strategy is the standard of care for patients with asymptomatic advanced-stage follicular lymphoma. Recent data have demonstrated an improvement in the time to progression with rituximab induction (RI) with or without rituximab maintenance (RM) in comparison with a WW strategy wait in such patients. It remains unclear whether this is a cost-effective strategy. METHODS: A Markov decision analysis model was developed to compare the clinical outcomes, costs, and cost-effectiveness of RI (4 weekly doses) plus RM (12 doses every 2 months), RI (4 weekly doses), and a WW strategy for patients newly diagnosed with low-burden, asymptomatic advanced-stage follicular lymphoma over a lifetime horizon. Baseline probabilities and utilities were derived from a systematic review of published studies, and they were evaluated on a 6-month cycle. A Canadian public health payer's perspective was adopted, and costs were presented in 2012 Canadian dollars. RESULTS: RI was the cheapest strategy. It was less costly at $59,953 versus $67,489 for the RM arm and $75,895 for the WW arm. It was also associated with a slightly lower quality-adjusted life expectancy at 6.16 quality-adjusted life years (QALYs) versus 6.28 QALYs for the RM strategy but was superior to WW (5.71 QALYs). In sensitivity analyses of key variables, this effectiveness was sensitive to the probability of first and second progression in the RI arm, and this indicated relatively neutral effectiveness between the 2 rituximab arms. CONCLUSIONS: RI without maintenance for asymptomatic advanced-stage follicular lymphoma is the preferred strategy: it minimizes costs per patient over a lifetime horizon.",2015-01-18302,25877511,Cancer,Anca Prica,2015,121 / 15,2637-45,No,25877511,"Anca Prica; Kelvin Chan; Matthew Cheung; Frontline rituximab monotherapy induction versus a watch and wait approach for asymptomatic advanced-stage follicular lymphoma: A cost-effectiveness analysis, Cancer, 2015 Aug 1; 121(15):0008-543X; 2637-45",QALY,Canada,Not Stated,Not Stated,Rituximab induction strategy vs. Standard/Usual Care- watch and wait strategy,"patients with newly diagnosed, untreated, lowburden, asymptomatic advanced-stage follicular lymphoma.",60 Years,60 Years,"Female, Male",Full,30 Years,5.00,5.00,-35426.67,Canada,2012,-39944.08
14307,Health and economic outcomes of introducing the new MenB vaccine (Bexsero) into the Italian routine infant immunisation programme,"INTRODUCTION: In January 2013 a novel type of multicomponent protein-based vaccine against group B meningococcal disease was licensed by the European Medicines Agency. With the widespread use of the meningococcal serogroup C conjugate vaccines, serogroup B remains now the major cause of bacterial meningitis and septicaemia in young children in Europe. The aim of this study is to investigate the health and the economic outcomes of MenB vaccine introduction into the Italian routine mass vaccination programme. METHODS: The present work is structured in two main parts. Firstly, we assess the epidemiological burden of group B meningococcal disease using official hospitalisation and notification data from two of the most populated Italian regions (Lombardia and Piemonte) during a 6-year study period (2007-2012). Secondly, we evaluate the cost-effectiveness of the immunisation programme in Italy from the public health payer perspective under base case parameters assumptions and performing a comprehensive sensitivity analysis to assess the robustness and the uncertainty of our model results. RESULTS: MenB serotype is responsible for 59% of the 341 cases of Invasive Meningococcal Disease in Lombardia and Piemonte. Incidence rate for MenB infection is estimated to be 0.21/100,000/y resulting at the highest level in children </=4 years of age. Although the new MenB vaccine can potentially prevent about one third of the disease cases in the Italian population, model results show this strategy is unlikely to be cost-effective (ICER value over euro350,000/QALY) with a vaccine that prevents disease only. These results are robust under most of the sensitivity scenarios except when allowing for lower discount rates. DISCUSSION: The introduction of the novel vaccine into the routine immunisation schedule needs to be carefully evaluated. The new MenB vaccine has the potential to reduce the disease burden at the population level. However, from the Italian Health Service perspective, the immunisation programme is unlikely to be cost-effective at the current incidence levels and vaccine price.",2015-01-18306,25874805,PLoS One,Marcello Tirani,2015,10 / 4,e0123383,No,25874805,"Marcello Tirani; Michela Meregaglia; Alessia Melegaro; Health and economic outcomes of introducing the new MenB vaccine (Bexsero) into the Italian routine infant immunisation programme, PLoS One , 2015; 10(4):1932-6203; e0123383",QALY,Italy,Not Stated,Not Stated,Bexsero vaccinaiton to prevent group b meningococcal disease vs. None,Born into a susceptible unvaccinated state,18 Years,Not Stated,"Female, Male",Full,Lifetime,3.00,3.00,376042,Euro,2013,554864.55
14308,Long-term cost-effectiveness of Oncotype DX versus current clinical practice from a Dutch cost perspective,"INTRODUCTION: This study analyzes the incremental cost-effectiveness of Oncotype DX(R) testing to support adjuvant chemotherapy recommendations, versus current clinical practice, for patients with estrogen receptor-positive (ER+), node-negative or micrometastatic (pN1mic) early-stage breast cancer in The Netherlands. METHODS: Markov model projecting distant recurrence, survival, quality-adjusted life years (QALYs) and healthcare costs over a 30-year time horizon. RESULTS: Oncotype DX was projected to increase QALYs by 0.11 (0.07-0.58) and costs with euro1236 (range: -euro142-euro1236) resulting in an incremental cost-effectiveness ratio of euro11,236/QALY under the most conservative scenario. CONCLUSION: Reallocation of adjuvant chemotherapy based on Oncotype DX testing is most likely a cost-effective use of scarce resources, improving long-term survival and QALYs at marginal or lower costs.",2015-01-18312,25872415,J Comp Eff Res,Michelle Kip,2015,/,1-13,No,25872415,"Michelle Kip; Helma Monteban; Lotte Steuten; Long-term cost-effectiveness of Oncotype DX versus current clinical practice from a Dutch cost perspective, J Comp Eff Res, 2015 Apr 15; ():2042-6313; 1-13",QALY,Netherlands,Not Stated,Not Stated,Oncotype dx testing vs. Standard/Usual Care- Current clinical practice,"estrogen receptor-positive (ER+), node negative",60 Years,60 Years,Female,Full,30 Years,4.00,1.50,11236,Euro,2012,16286.67
14309,Gemcitabine/dexamethasone/cisplatin vs cytarabine/dexamethasone/cisplatin for relapsed or refractory aggressive-histology lymphoma: cost-utility analysis of NCIC CTG LY.12,"BACKGROUND: The NCIC CTG LY.12 study showed that gemcitabine, dexamethasone, and cisplatin (GDP) were noninferior to dexamethasone, cytarabine, and cisplatin (DHAP) in patients with relapsed or refractory aggressive histology lymphoma prior to autologous stem cell transplantation. We conducted an economic evaluation from the perspective of the Canadian public healthcare system based on trial data. METHODS: The primary outcome was an incremental cost utility analysis comparing costs and benefits associated with GDP vs DHAP. Resource utilization data were collected from 519 Canadian patients in the trial. Costs were presented in 2012 Canadian dollars and disaggregated to highlight the major cost drivers of care. Benefit was measured as quality-adjusted life-years (QALYs) based on utilities translated from prospectively collected quality-of-life data. All statistical tests were two-sided. RESULTS: The mean overall costs of treatment per patient in the GDP and DHAP arms were $19 961 (95% confidence interval (CI) = $17 286 to $24 565) and $34 425 (95% CI = $31 901 to $39 520), respectively, with an incremental difference in direct medical costs of $14 464 per patient in favor of GDP (P < .001). The predominant cost driver for both treatment arms was related to hospitalizations. The mean discounted quality-adjusted overall survival with GDP was 0.161 QALYs and 0.152 QALYs for DHAP (difference = 0.01 QALYs, P = .146). In probabilistic sensitivity analysis, GDP was associated with both cost savings and improved quality-adjusted outcomes compared with DHAP in 92.6% of cost-pair simulations. CONCLUSIONS: GDP was associated with both lower costs and similar quality-adjusted outcomes compared with DHAP in patients with relapsed or refractory lymphoma. Considering both costs and outcomes, GDP was the dominant therapy.",2015-01-18319,25868579,J Natl Cancer Inst,Matthew C Cheung,2015,107 / 7,,No,25868579,"Matthew C Cheung; Annette E Hay; Michael Crump; Kevin R Imrie; Yuyao Song; Shazia Hassan; Nancy Risebrough; Jonathan Sussman; Stephen Couban; David MacDonald; Vishal Kukreti; C Tom Kouroukis; Tara Baetz; David Szwajcer; Pierre Desjardins; Lois Shepherd; Ralph M Meyer; Al Le; Bingshu E Chen; Nicole Mittmann; Committee on Economic Analysis a; Gemcitabine/dexamethasone/cisplatin vs cytarabine/dexamethasone/cisplatin for relapsed or refractory aggressive-histology lymphoma: cost-utility analysis of NCIC CTG LY.12, J Natl Cancer Inst, 2015 Jul; 107(7):0027-8874",QALY,Canada,Not Stated,Not Stated,Gemcitabine/dexamethasone/cisplatin vs. Cytarabine/Dexamethasone/Cisplatin,Not Stated,74 Years,19 Years,"Female, Male",Full,8 Years,Not Stated,5.00,-1607111.13,Canada,2012,-1812040.83
14310,Cost-effectiveness of mass screening for untreated atrial fibrillation using intermittent ECG recording,"AIMS: The aim of this study was to estimate the cost-effectiveness of 2 weeks of intermittent screening for asymptomatic atrial fibrillation (AF) in 75/76-year-old individuals. METHODS AND RESULTS: The cost-effectiveness analysis of screening in 75-year-old individuals was based on a lifelong decision analytic Markov model. In this model, 1000 hypothetical individuals, who matched the population of the STROKESTOP study, were simulated. The population was analysed for different parameters such as prevalence, AF status, treatment with oral anticoagulation, stroke risk, utility, and costs. In the base-case scenario, screening of 1000 individuals resulted in 263 fewer patient-years with undetected AF. This implies eight fewer strokes, 11 more life-years, and 12 more quality-adjusted life years (QALYs) per 1000 screened individuals. The screening implies an incremental cost of euro50 012, resulting in a cost of euro4313 per gained QALY and euro6583 per avoided stroke. CONCLUSIONS: With the use of a decision analytic simulation model, it has been shown that screening for asymptomatic AF in 75/76-year-old individuals is cost-effective.",2015-01-18320,25868469,Europace,Mattias Aronsson,2015,17 / 7,1023-9,No,25868469,"Mattias Aronsson; Emma Svennberg; Marten Rosenqvist; Johan Engdahl; Faris Al-Khalili; Leif Friberg; Viveka Frykman-Kull; Lars-Ake Levin; Cost-effectiveness of mass screening for untreated atrial fibrillation using intermittent ECG recording, Europace, 2015 Jul; 17(7):1099-5129; 1023-9",QALY,Sweden,Not Stated,Not Stated,Hand-held ECG recorder to screen asymptomatic atrial fibrillation vs. None,Not Stated,76 Years,75 Years,"Female, Male",Full,"Lifetime, 50, 15 years",3.00,3.00,4313,Euro,2014,6269.63
