index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
32601,Darvadstrocel for treating complex perianal fistulas in Crohn's disease,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2019-01-41583,,NotApplicable,NotApplicable,2019,NotApplicable /,,No,Not Stated,"NotApplicable; Darvadstrocel for treating complex perianal fistulas in Crohn's disease, NotApplicable, ; NotApplicable():",QALY,England,"Noninfective enteritis and colitis, Other diseases of intestines","Medical Procedure, Pharmaceutical",darvadstrocel vs. seton placement,previously treated complex perianal fistulas in adults with non-active or mildly active luminal Crohn’s disease,Not Stated,18 Years,"Male, Female",Full,60 Years,3.50,3.50,23176,United Kingdom,2017,33025.02
32602,Pentosan polysulfate sodium for treating bladder pain syndrome,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2019-01-41597,,NotApplicable,NotApplicable,2019,NotApplicable /,,No,Not Stated,"NotApplicable; Pentosan polysulfate sodium for treating bladder pain syndrome, NotApplicable, ; NotApplicable():",QALY,England,"Other diseases of urinary system, Other diseases of urinary system, Other diseases of urinary system",Pharmaceutical,pentosan polysulfate sodium vs. bladder instillations,"moderate to severe pain, no response to standard oral treatment",Not Stated,18 Years,"Male, Female",Full,Lifetime,Not Stated,Not Stated,14418,United Kingdom,2017,20545.16
32603,Pentosan polysulfate sodium for treating bladder pain syndrome,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2019-01-41597,,NotApplicable,NotApplicable,2019,NotApplicable /,,No,Not Stated,"NotApplicable; Pentosan polysulfate sodium for treating bladder pain syndrome, NotApplicable, ; NotApplicable():",QALY,England,"Other diseases of urinary system, Other diseases of urinary system, Other diseases of urinary system",Pharmaceutical,"pentosan polysulfate sodium vs. best supportive care, continuation of oral medication","moderate to severe pain, no response to standard oral treatment",Not Stated,18 Years,"Male, Female",Full,Lifetime,Not Stated,Not Stated,50740,United Kingdom,2017,72302.79
32604,Cannabidiol with clobazam for treating seizures associated with Dravet syndrome,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2019-01-41606,,NotApplicable,NotApplicable,2019,NotApplicable /,,No,Not Stated,"NotApplicable; Cannabidiol with clobazam for treating seizures associated with Dravet syndrome, NotApplicable, ; NotApplicable():",QALY,England,Episodic and paroxysmal disorders,Pharmaceutical,"cannabidiol vs. usual care, antiepileptic drugs",Not Stated,Not Stated,2 Years,"Male, Female",Full,90 Years,Not Stated,Not Stated,32471,United Kingdom,2017,46270.08
32605,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,basiliximab vs. treatment without induction,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32606,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,basiliximab vs. rabbit anti-human thymocyte immunoglobulin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32607,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,mycophenolate mofetil vs. sirolimus,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32608,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,mycophenolate mofetil vs. azathioprine,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,Not Stated,United Kingdom,2015,Not Stated
32609,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,mycophenolate sodium vs. mycopheolate mofetil,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,144000,United Kingdom,2015,251634.85
32610,Immunosuppressive therapy for kidney transplant in adults,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2017-01-41588,,NotApplicable,NotApplicable,2017,NotApplicable /,,No,Not Stated,"NotApplicable; Immunosuppressive therapy for kidney transplant in adults, NotApplicable, ; NotApplicable():",QALY,England,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Pharmaceutical,everolimus vs. mycophenolate mofetil,Not Stated,Not Stated,18 Years,"Male, Female",Full,Not Stated / None,Not Stated,Not Stated,1530000,United Kingdom,2015,2673620.27
