index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
28401,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical",Inhaled bronchodilator and corticosteroid vs. None,stage III & IV,Not Stated,Not Stated,Female,Full,,3.00,3.00,24687.5,United States,2005,32715.8
28402,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical",Influenza vaccine vs. None,Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,2758,United States,2005,3654.89
28403,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical",Smoking cessation vs. None,Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,5059,United States,2005,6704.17
28404,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical",Population salt reduction by 30% to combat cardiovascular disease vs. None,Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,293,United States,2005,388.28
28405,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical",Detection of high risk individuals through cholesterol testing vs. None,Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,567,United States,2005,751.39
28406,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical",Detection of high rish individuals- cholesterol >240mg/dL vs. None,Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,8174,United States,2005,10832.16
28407,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical",Detection of high rish individuals- hypertension >140mmHg vs. None,Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,3855,United States,2005,5108.63
28408,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical","Combination of health education, legislation with food industry, detection and treatment of high risk individuals based on blood pressure, serum cholesterol, and absolute risk thresholds vs. None",Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,1879,United States,2005,2490.05
28409,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical","Combination of health education, legislation with food industry, detection and treatment of high risk individuals based on blood pressure, serum cholesterol, and absolute risk threshold above 5% vs. None",Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,4140,United States,2005,5486.32
28410,Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis,"To inform decision making regarding intervention strategies against non-communicable diseases in Mexico, in the context of health reform.Cost effectiveness analysis based on epidemiological modelling.101 intervention strategies relating to nine major clusters of non-communicable disease: depression, heavy alcohol use, tobacco use, cataracts, breast cancer, cervical cancer, chronic obstructive pulmonary disease, cardiovascular disease, and diabetes.Mexican data sources were used for most key input parameters, including administrative registries; disease burden and population estimates; household surveys; and drug price databases. These sources were supplemented as needed with estimates for Mexico from the WHO-CHOICE unit cost database or with estimates extrapolated from the published literature.Population health outcomes, measured in disability adjusted life years (DALYs); costs in 2005 international dollars ($Int); and costs per DALY.Across 101 intervention strategies examined in this study, average yearly costs at the population level would range from around =$Int1m (such as for cataract surgeries) to >$Int1bn for certain strategies for primary prevention in cardiovascular disease. Wide variation also appeared in total population health benefits, from <1000 DALYs averted a year (for some components of cancer treatments or aspirin for acute ischaemic stroke) to >300,000 averted DALYs (for aggressive combinations of interventions to deal with alcohol use or cardiovascular risks). Interventions in this study spanned a wide range of average cost effectiveness ratios, differing by more than three orders of magnitude between the lowest and highest ratios. Overall, community and public health interventions such as non-personal interventions for alcohol use, tobacco use, and cardiovascular risks tended to have lower cost effectiveness ratios than many clinical interventions (of varying complexity). Even within the community and public health interventions, however, there was a 200-fold difference between the most and least cost effective strategies examined. Likewise, several clinical interventions appeared among the strategies with the lowest average cost effectiveness ratios-for example, cataract surgeries.Wide variations in costs and effects exist within and across intervention categories. For every major disease area examined, at least some strategies provided excellent value for money, including both population based and personal interventions.",2012-99-08799,22389335,BMJ,Joshua A Salomon,2012,344 /,e355,No,22389335,"Joshua A Salomon; Natalie Carvalho; Cristina Guti?rrez-Delgado; Ricardo Orozco; Anna Mancuso; Daniel R Hogan; Diana Lee; Yuki Murakami; Lakshmi Sridharan; Mar?a Elena Medina-Mora; Eduardo Gonz?lez-Pier; Intervention strategies to reduce the burden of non-communicable diseases in Mexico: cost effectiveness analysis, BMJ, ; 344 ():0959-8138; e355",DALY,Mexico,Not Stated,"Care Delivery, Diagnostic, Environmental, Health Education or Behavior, Immunization, Legislation / Regulation, Medical Procedure, Pharmaceutical, Screening, Surgical",Aspirin for acute ischemic stroke vs. None,Not Stated,Not Stated,Not Stated,Female,Full,,3.00,3.00,120526,United States,2005,159720.71
