index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
32501,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,canagliflozin vs. empagliflozin 25 mg,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,-4600,United Kingdom,2012,-8606.7
32502,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,empagliflozin vs. empagliflozin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,-7062.5,United Kingdom,2012,-13214.09
32503,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,sitagliptin vs. empagliflozin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,-2531.25,United Kingdom,2012,-4736.02
32504,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,canagliflozin vs. empagliflozin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,-75400,United Kingdom,2012,-141075.03
32505,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,empagliflozin vs. empagliflozin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,9571,United Kingdom,2012,17907.55
32506,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,Canagliflozin vs. Empagliflozin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,-8000,United Kingdom,2012,-14968.17
32507,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,canagliflozin vs. empagliflozin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,4933,United Kingdom,2012,9229.75
32508,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,sitagliptin vs. canagliflozin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,-2600,United Kingdom,2012,-4864.66
32509,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,canagliflozin vs. sitagliptin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,4115,United Kingdom,2012,7699.25
32510,Empagliflozin in combination therapy for treating type 2 diabetes,"NOTE FROM THE CEA REGISTRY TEAM: While peer-reviewed literature is the primary focus of CEVR’s data collection strategy, we completed a pilot project to capture reports from health technology assessment (HTA) agencies in 2022. Our project collected data from a random sample of HTA reports published by the National Institute for Health and Care Excellence (NICE); the Canadian Agency for Drugs and Technologies in Health (CADTH); the U.S.-based Institute for Clinical and Economic Review (ICER); Instituto de Evaluación Tecnológica en Salud (IETS) in Colombia; and Brazil’s Comissão Nacional de Incorporação de Tecnologias no Sus (CONITEC). Data for this cost-effectiveness analysis were retrieved from an HTA report as part of the pilot project. For more information on this pilot project, please contact cea@tuftsemedicalcenter.org.",2015-01-41595,,NotApplicable,NotApplicable,2015,NotApplicable /,,No,Not Stated,"NotApplicable; Empagliflozin in combination therapy for treating type 2 diabetes, NotApplicable, ; NotApplicable():",QALY,"England, Wales",Diabetes mellitus,Pharmaceutical,empagliflozin vs. canagliflozin,Not Stated,Not Stated,18 Years,"Male, Female",Full,Lifetime,3.50,3.50,-5722.22,United Kingdom,2012,-10706.4
