index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
27901,Cost effectiveness of tobacco control policies in Vietnam: the case of population-level interventions,"Background: Tobacco smoking is one of the leading public health problems in the world. It is also possible to prevent and/or reduce the harm from tobacco use through the use of cost-effective tobacco control measures. However, most of this evidence comes from developed countries and little research has been conducted on this issue in developing countries. Objective: The objective of this study was to analyse the cost effectiveness of four population-level tobacco control interventions in Vietnam. Methods: Four tobacco control interventions were evaluated: excise tax increase; graphic warning labels on cigarette packs; mass media campaigns; and smoking bans (in public or in work places). A multi-state life table model was constructed in Microsoft® Excel to examine the cost effectiveness of the tobacco control intervention options. A government perspective was adopted, with costing conducted using a bottom-up approach. Health improvement was considered in terms of disability-adjusted life-years (DALYs) averted. All assumptions were subject to sensitivity and uncertainty analysis. Results: All the interventions fell within the definition of being very cost effective according to the threshold level suggested by the WHO (i.e. <GDP per capita). Graphic warning labels on cigarette packs was the most cost-effective option, followed by excise tax increases, mass media campaigns, public smoking bans and work place smoking bans. If the cost offset was included in the analysis, all interventions would provide cost savings to the government health sector. Conclusions: All four interventions to reduce the harm from tobacco use appear to be highly cost effective and should be considered as priorities in the context of Vietnam. The government may initially consider graphic warning labels and tax increase, followed by other interventions.",2011-99-07697,21506624,Appl Health Econ Health Policy,Hideki Higashi,2011,9 / 3,183-96,Yes,21506624,"Hideki Higashi; Khoa D Truong; Jan J Barendregt; Phuong K Nguyen; Mai L Vuong; Thuy T Nguyen; Phuong T Hoang; Angela L Wallace; Tien V Tran; Cuong Q Le; Christopher M Doran; Cost effectiveness of tobacco control policies in Vietnam: the case of population-level interventions, Appl Health Econ Health Policy, 2011-May-01; 9(3):1179-1896; 183-96",DALY,Viet Nam,Not Stated,"Health Education or Behavior, Legislation / Regulation",Smoking ban vs. None,Not Stated,Not Stated,Not Stated,"Female, Male",Full,", 5 year for costs 10 year for DALYS",3.00,3.00,-348177,Vietnam,2006,-27.96
27902,Cost-effectiveness of new WHO recommendations for prevention of mother-to-child transmission of HIV in a resource-limited setting,"Objective: Nigeria has high rates of mother-to-child HIV transmission. We sought to determine whether new WHO recommendations for long-course antiretroviral therapy (ART) prophylaxis are cost-effective for prevention of mother-to-child transmission (PMTCT) of HIV compared to short-course strategies in Nigeria. Design: We conducted a cost-effectiveness analysis from a health-system perspective, with a target population consisting of HIV-infected pregnant women in Nigeria. Methods: A decision-analysis model compared two strategies for PMTCT: intervention – long-course maternal triple ART [zidovudine/lamivudine/efavirenz (ZDV/3TC/EFV)] beginning at 14 weeks gestation through the end of breastfeeding, with infant ART, per new WHO guidelines (option B); and minimal standard of care (MSOC) in Nigeria – short-course dual ART (ZDV/3TC) from 34 weeks gestation to 1 week postpartum, with single-dose nevirapine for infant and mother at labor/delivery. The primary outcomes were expected costs, pediatric HIV cases, and disability-adjusted life years (DALYs) accrued with each strategy; cost-effectiveness was represented using incremental cost-effectiveness ratios (ICERs). Results: If implemented at the level of antenatal coverage in Nigeria (58%), mother-to-child HIV transmission could be reduced to 16.1% with MSOC and 12.8% with the intervention. At current pregnancy rates, the intervention would prevent 7680 infant HIV cases and avert 230 400 DALYs annually, compared to MSOC. The average health-system cost of the intervention was US$ 401 per pregnancy compared to $293 per pregnancy with MSOC. The intervention was associated with an ICER of $113 per-DALY-averted compared to MSOC, and was highly cost-effective using a willingness-to-pay threshold of per-capita Nigerian GDP. Conclusion: Implementation of new WHO recommendations for extended maternal and infant prophylaxis is highly cost-effective compared to short-course regimens for PMTCT of HIV in Nigeria.",2011-99-07698,21505317,AIDS,Maunank Shah,2011,25 / 8,1093-102,No,21505317,"Maunank Shah; Benjamin Johns; Alash'le Abimiku; Damian G Walker; Cost-effectiveness of new WHO recommendations for prevention of mother-to-child transmission of HIV in a resource-limited setting, AIDS, 2011-May-15; 25(8):0269-9370; 1093-102",DALY,Nigeria,Not Stated,"Maternal / Neonatal / Reproductive Care, Pharmaceutical","Long-course maternal triple antiretrovial treatment (ART) [zidovudine/lamivudine/efavirenz (ZDV/3TC/EFV)] with infant ART to prevent mother-to-child-transmission of HIV vs. Standard/Usual Care- Short-course dual ART (ZDV/3TC) from 34 weeks gestation to 1 week postpartum, with single-dose nevirapine for infant and mother at labor/delivery (minimal standard of care)",Born to mothers with HIV,Not Stated,Not Stated,"Female, Male",Full,,3.00,3.00,113,United States,2010,134.12
27903,Cost-effectiveness of Essential Newborn Care Training in Urban First-Level Facilities,"OBJECTIVE: To determine the cost-effectiveness of the World Health Organization (WHO) Essential Newborn Care (ENC) training of health care providers in first-level facilities in the 2 largest cities in Zambia. METHODS: Data were extracted from a study in which the effectiveness of the ENC training was evaluated (including universal precautions and cleanliness, routine neonatal care, resuscitation, thermoregulation, breastfeeding, skin-to-skin care, care of the small infant, danger signs, and common illnesses). The costs to train an ENC instructor for each first-level delivery facility and the costs of salary/benefits for 2 coordinators responsible for maintenance of the program were recorded in 2005 US dollars. The incremental costs per life gained and per disability-adjusted life-year averted were calculated. SETTING: A 5-day ENC training-of-trainers was conducted in Lusaka, Zambia, to certify 18 college-trained midwives as ENC instructors. The instructors trained all clinic midwives working in their first-level facilities as part of a before-and-after study of the effect of ENC training on early neonatal mortality conducted from Oct 2004 to Nov 2006. RESULTS: All-cause 7-day (early) neonatal mortality decreased from 11.5 per 1000 to 6.8 per 1000 live births after ENC training of the clinic midwives (relative risk: 0.59; 95% confidence interval: 0.48-0.77; P < .001; 40 615 births). The intervention costs were $208 per life saved and $5.24 per disability-adjusted life-year averted. CONCLUSIONS: ENC training of clinic midwives who provide care in low-risk facilities is a low-cost intervention that can reduce early neonatal mortality in these settings.",2011-99-07319,21502223,Pediatrics,Albert Manasyan,2011,127 / 5,e1176-e1181,No,21502223,"Albert Manasyan; Elwyn Chomba; Elizabeth M McClure; Linda L Wright; Sara Krzywanski; Waldemar A Carlo; Eunice Kennedy Shriver National; Cost-effectiveness of Essential Newborn Care Training in Urban First-Level Facilities, Pediatrics, 2011-May; 127(5):1098-4275; e1176-e1181",DALY,Zambia,Not Stated,"Health Education or Behavior, Maternal / Neonatal / Reproductive Care",World Health Organization (WHO) Essential Newborn Care (ENC) training for midwives vs. None,Not Stated,5 Years,Not Stated,"Female, Male",Full,,Not Stated,Not Stated,5.24,United States,2005,6.94
27904,Cost-effectiveness of influenza vaccination of people aged 50-64 years in Australia: results are inconclusive,"Influenza cost-effectiveness studies use models for influenza clinical evolution based on a range of assumptions. We explore the importance of these assumptions and its implications in policy decisions.An influenza model was constructed to measure the cost-effectiveness of universal influenza vaccination of people over 50 years compared to current policy to vaccinate people over 65 years in Australia using available epidemiological data. We explored two scenarios, one with an Australian estimate of influenza like illness incidence, and one with a European estimate. Further, we estimated uncertainty of model structure and various parameter assumptions, and compared with a previous study.The scenario and sensitivity analysis has shown the incremental cost-effectiveness ratio of the proposed compared to current policy varies from $112,000 to $6,000 per DALY. The model structure, parameter assumptions and limitations of existing epidemiological data lead to extensive unaccounted uncertainties in previous studies.The lack of influenza epidemiological data makes the influenza cost-effectiveness studies that compare the universal influenza vaccinations of people over 50 years to current policy unreliable.It is imperative to appraise unreliability of influenza cost-effectiveness studies in policy decisions. Research to acquire more data on influenza uncertainties in Australia should be funded.",2011-99-10554,21463417,Aust N Z J Public Health,Vittal Mogasale,2011,35 / 2,180-6,No,21463417,"Vittal Mogasale; Jan Barendregt; Cost-effectiveness of influenza vaccination of people aged 50-64 years in Australia: results are inconclusive, Aust N Z J Public Health, ; 35(2):1326-0200; 180-6",DALY,Australia,Not Stated,Immunization,Influenza vaccination vs. Standard/Usual Care- Influenza vaccination for those 65 and older,Not Stated,64 Years,41 Years,"Female, Male",Full,,3.00,3.00,111574,Australia,2003,102381.74
27905,Cost effectiveness of targeted HIV prevention interventions for female sex workers in India,"Objective To ascertain the cost effectiveness of targeted interventions for female sex workers (FSW) under the National AIDS Control Programme in India. Methods A compartmental mathematical Markov state model was used over a 20-year time horizon (1995-2015) to estimate the cost effectiveness of FSW targeted interventions, with a health system perspective. The incremental costs and effects of FSW targeted interventions were compared against a baseline scenario of mass media for the general population alone. The incremental cost-effectiveness ratio was computed at a 3% discount rate using HIV infections averted and disability-adjusted life-years (DALY) as benefit measures. It was assumed that the transmission of the HIV virus moves from a high-risk group (FSW) to the client population and finally to the general population (partners of clients). Result Targeted interventions for FSW result in a reduction of 47% (1.6 million) prevalent and 36% (2.7 million) cumulative HIV cases, respectively, in 2015. Adult HIV prevalence in India, with and without (mass media only) FSW interventions, would be 0.25% and 0.48% in 2015. Indian government and development partners spend an average US$104 (INR4680) per HIV infection averted and US$10.7 (INR483) per DALY averted. Discounting at 3%, FSW targeted interventions cost US$105.5 (INR4748) and US$10.9 (INR490) per HIV case and DALY averted, respectively. Conclusion At the current gross domestic product in India, targeted intervention is a cost-effective strategy for HIV prevention in India.",2011-99-07377,21447514,Sex Transm Infect,Shankar Prinja,2011,/,,No,21447514,"Shankar Prinja; Pankaj Bahuguna; Shalini Rudra; Indrani Gupta; Manmeet Kaur; S M Mehendale; Susmita Chatterjee; Samiran Panda; Rajesh Kumar; Cost effectiveness of targeted HIV prevention interventions for female sex workers in India, Sex Transm Infect, 2011-Mar-29; ():1368-4973",DALY,India,Not Stated,Health Education or Behavior,"Targeted HIV prevention interventions (counselling, condom promotion, quarterly check-ups) in addition to mass media vs. Mass Media HIV prevention interventions",Sex workers (FSW),64 Years,12 Years,Female,Full,,3.00,3.00,10.9,United States,2008,13.1
27906,Comparing the Cost-Effectiveness of Short Orthopedic Missions in Elective and Relief Situations in Developing Countries,"BACKGROUND: The earthquake that occurred in Haiti on 12 January 2010 elicited an unprecedented response from the American orthopedic community. Many small organizations, such as Operation Rainbow, were thrust into the unfamiliar environment of relief surgery, whereas they normally provide short elective reconstruction missions in developing countries. MATERIALS: Because of the chaotic nature of relief work, it was assumed that the organization's efforts would be less cost-effective than their usual elective work. To evaluate this conclusion, the present study was designed to compare the cost-effectiveness of the organization's usual elective missions with the emergency relief provided in the wake of the Haiti earthquake. RESULTS AND CONCLUSIONS: The assumption that emergency costs would be higher was proven wrong, with estimates of $362 per disability-adjusted life-year (DALY) averted in the elective group, and $343 per DALY averted in the relief group.",2011-99-07094,21350899,World J Surg,Richard A Gosselin,2011,/,,No,21350899,"Richard A Gosselin; Gus Gialamas; Dave M Atkin; Comparing the Cost-Effectiveness of Short Orthopedic Missions in Elective and Relief Situations in Developing Countries, World J Surg, 2011-Feb-25; ():0364-2313",DALY,"Dominican Republic, Nicaragua",Not Stated,Surgical,Short surgical orthopedic elective mission vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,Not Stated,Not Stated,362,United States,2009,436.71
27907,Comparing the Cost-Effectiveness of Short Orthopedic Missions in Elective and Relief Situations in Developing Countries,"BACKGROUND: The earthquake that occurred in Haiti on 12 January 2010 elicited an unprecedented response from the American orthopedic community. Many small organizations, such as Operation Rainbow, were thrust into the unfamiliar environment of relief surgery, whereas they normally provide short elective reconstruction missions in developing countries. MATERIALS: Because of the chaotic nature of relief work, it was assumed that the organization's efforts would be less cost-effective than their usual elective work. To evaluate this conclusion, the present study was designed to compare the cost-effectiveness of the organization's usual elective missions with the emergency relief provided in the wake of the Haiti earthquake. RESULTS AND CONCLUSIONS: The assumption that emergency costs would be higher was proven wrong, with estimates of $362 per disability-adjusted life-year (DALY) averted in the elective group, and $343 per DALY averted in the relief group.",2011-99-07094,21350899,World J Surg,Richard A Gosselin,2011,/,,No,21350899,"Richard A Gosselin; Gus Gialamas; Dave M Atkin; Comparing the Cost-Effectiveness of Short Orthopedic Missions in Elective and Relief Situations in Developing Countries, World J Surg, 2011-Feb-25; ():0364-2313",DALY,Haiti,Not Stated,Surgical,Short surgical orthopedic relief mission vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,Not Stated,Not Stated,343,United States,2009,413.78
27908,A cost-benefit analysis of scaling up tuberculosis control in India,"Objectives: To measure the economic costs and benefits of scaling up tuberculosis (TB) control under the Revised National Tuberculosis Control Programme (RNTCP) in India. Design: Modelling based on country-level programme and epidemiological data from 1997 to 2006. Results: The scale-up of TB control in India has resulted in a total health benefit of 29.2 million disability-adjusted life years (DALYs), including 1.3 million deaths averted. In 2006, the burden of TB measured in terms of DALYs lost would have been 1.8 times higher in the absence of the programme. The total gain in economic well-being from TB control is estimated at US$88.1 billion over the 1997-2006 10-year period. Total public expenditure on TB control over this period amounted to US$768 million, with the RNTCP accounting for US$299 million and other health sector costs accounting for US$469 million. The cost of TB control averaged just US$26 per DALY gained over 1997-2006 and generated a return of US$115 per dollar spent. Conclusions: The scale-up of TB control has been a very cost-effective strategy for improving the health status of India's population, while the return on investment has been exceptional from a societal perspective.",2011-99-07467,21333103,Int J Tuberc Lung Dis,M Goodchild,2011,15 / 3,358-62,No,21333103,"M Goodchild; S Sahu; F Wares; P Dewan; R S Shukla; L S Chauhan; K Floyd; A cost-benefit analysis of scaling up tuberculosis control in India, Int J Tuberc Lung Dis, 2011-Mar; 15(3):1027-3719; 358-62",DALY,India,Not Stated,"Care Delivery, Diagnostic, Pharmaceutical, Screening, Other","Revised National Tuberculosis Control Programme (RNTCP) based on the directly observed treatment, short-course (DOTS) strategy from the years 1997-2006 vs. None",Not Stated,Not Stated,Not Stated,"Female, Male",Full,,Not Stated,3.00,26,United States,2006,33.38
27909,A cost-benefit analysis of scaling up tuberculosis control in India,"Objectives: To measure the economic costs and benefits of scaling up tuberculosis (TB) control under the Revised National Tuberculosis Control Programme (RNTCP) in India. Design: Modelling based on country-level programme and epidemiological data from 1997 to 2006. Results: The scale-up of TB control in India has resulted in a total health benefit of 29.2 million disability-adjusted life years (DALYs), including 1.3 million deaths averted. In 2006, the burden of TB measured in terms of DALYs lost would have been 1.8 times higher in the absence of the programme. The total gain in economic well-being from TB control is estimated at US$88.1 billion over the 1997-2006 10-year period. Total public expenditure on TB control over this period amounted to US$768 million, with the RNTCP accounting for US$299 million and other health sector costs accounting for US$469 million. The cost of TB control averaged just US$26 per DALY gained over 1997-2006 and generated a return of US$115 per dollar spent. Conclusions: The scale-up of TB control has been a very cost-effective strategy for improving the health status of India's population, while the return on investment has been exceptional from a societal perspective.",2011-99-07467,21333103,Int J Tuberc Lung Dis,M Goodchild,2011,15 / 3,358-62,No,21333103,"M Goodchild; S Sahu; F Wares; P Dewan; R S Shukla; L S Chauhan; K Floyd; A cost-benefit analysis of scaling up tuberculosis control in India, Int J Tuberc Lung Dis, 2011-Mar; 15(3):1027-3719; 358-62",DALY,India,Not Stated,"Care Delivery, Diagnostic, Pharmaceutical, Screening, Other","Revised National Tuberculosis Control Programme (RNTCP) based on the directly observed treatment, short-course (DOTS) strategy in the final year of the scale up stage (2006) vs. Standard/Usual Care- ""In the absence of DOTS, patients would be treated in less eficacious programmes that have higher case fatality rates (CFRs) and lengtheier periods of morbidity""",Not Stated,Not Stated,Not Stated,"Female, Male",Full,,Not Stated,3.00,19,United States,2006,24.39
27910,"Projected impact and cost-effectiveness of a rotavirus vaccination program in India, 2008","BACKGROUND: To assess the value of rotavirus vaccination in India, we determined the potential impact and cost-effectiveness of a national rotavirus vaccination program. METHODS: We compared the national rotavirus disease and cost burden with and without a vaccination program and assessed the cost-effectiveness of vaccination. Model inputs included measures of disease and cost burden, vaccine performance, and vaccination coverage and cost. We measured the annual number of health-related events and treatment costs averted, as well as the cost-effectiveness in US dollars per disability-adjusted life-year (DALY) and cost per death averted. One-way sensitivity analyses were performed by individually varying each model input. RESULTS: With use of a vaccine that has an estimated effectiveness of 50%, a rotavirus vaccination program in India would prevent ~44,000 deaths, ~293,000 hospitalizations, and ~328,000 outpatient visits annually, which would avert $20.6 million in medical treatment costs. Vaccination would be cost-saving at the GAVI Alliance price of $0.15 per dose. At $1.00 per dose, a vaccination program would cost $49.8 million, which would result in an expenditure of $21.41 per DALY averted or $662.94 per life saved. Even at $7.00 per dose, vaccination would be highly cost-effective. In sensitivity analyses, varying efficacy against severe rotavirus disease and vaccine price had the greatest impact on cost-effectiveness. CONCLUSIONS: A national rotavirus vaccination program in India would prevent substantial rotavirus morbidity and mortality and would be highly cost-effective at a range of vaccine prices. Public health officials can use this locally derived data to evaluate how this highly cost-effective intervention might fit into India's long-term health care goals.",2011-99-07164,21288839,Clin Infect Dis,Douglas H Esposito,2011,52 / 2,171-7,No,21288839,"Douglas H Esposito; Jacqueline E Tate; Gagandeep Kang; Umesh D Parashar; Projected impact and cost-effectiveness of a rotavirus vaccination program in India, 2008, Clin Infect Dis, 2011-Jan; 52(2):1537-6591; 171-7",DALY,India,Not Stated,Immunization,National rotavirus vaccination program vs. Standard/Usual Care,Not Stated,5 Years,Not Stated,"Female, Male",Full,,3.00,3.00,21.41,United States,2008,25.74
