index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
30908,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Brazil,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,4840,United States,2015,5285.04
30909,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Colombia,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,4906,United States,2015,5357.11
30910,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Honduras,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,4801,United States,2015,5242.46
30911,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Mexico,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,5865,United States,2015,6404.29
30912,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Puerto Rico,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,666,United States,2015,727.24
30913,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Indonesia,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,3007,United States,2015,3283.5
30914,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Malaysia,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,1935,United States,2015,2112.93
30915,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Philippines,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,5101,United States,2015,5570.04
30916,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Thailand,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,4725,United States,2015,5159.47
30917,Cost-effectiveness of dengue vaccination in ten endemic countries,"Following publication of results from two phase-3 clinical trials in 10 countries or territories, endemic countries began licensing the first dengue vaccine in 2015. Using a published mathematical model, we evaluated the cost-effectiveness of dengue vaccination in populations similar to those at the trial sites in those same Latin American and Asian countries. Our main scenarios (30-year horizon, 80% coverage) entailed 3-dose routine vaccinations costing US$20/dose beginning at age 9, potentially supplemented by catch-up programs of 4- or 8-year cohorts. We obtained illness costs per case, dengue mortality, vaccine wastage, and vaccine administration costs from the literature. We estimated that routine vaccination would reduce yearly direct and indirect illness cost per capita by 22% (from US$10.51 to US$8.17) in the Latin American countries and by 23% (from US$5.78 to US$4.44) in the Asian countries. Using a health system perspective, the incremental cost-effectiveness ratio (ICER) averaged US$4,216/disability-adjusted life year (DALY) averted in the five Latin American countries (range: US$666/DALY in Puerto Rico to US$5,865/DALY in Mexico). In the five Asian countries, the ICER averaged US$3,751/DALY (range: US$1,935/DALY in Malaysia to US$5,101/DALY in the Philippines). From a health system perspective, the vaccine proved to be highly cost effective (ICER under one times the per capita GDP) in seven countries and cost effective (ICER 1-3 times the per capita GDP) in the remaining three countries. From a societal perspective, routine vaccination proved cost-saving in three countries. Including catch-up campaigns gave similar ICERs. Thus, this vaccine could have a favorable economic value in sites similar to those in the trials.",2018-XX-26138,29229427,Vaccine,Wu Zeng,2018,36 / 3,413-420,Yes,29229427,"Wu Zeng; Yara A Halasa-Rappel; Nicolas Baurin; Laurent Coudeville; Donald S Shepard; Cost-effectiveness of dengue vaccination in ten endemic countries, Vaccine, 2018 Jan 8; 36(3):1873-2518; 413-420",DALY,Viet Nam,Not Stated,Immunization,Routine dengue vaccination only at age 9 vs. None,Not Stated,9 Years,9 Years,"Female, Male",Full,,Not Stated,Not Stated,3987,United States,2015,4353.61
