index,title,abstract,Master Ref#,PubMed ID,Journal,Primary Author,Publication Year,Volume / Issue,Pages,Priority Journal,PubMed ID:,Full Reference:,"Study Outcome ($/QALY, $/DALY, Both):",Study Country:,Disease Classification:,Intervention Type(s):,Intervention Phrase vs. Comparator Phrase:,Target Characteristics:,Max Target Age:,Min Target Age:,Target Genders:,Review:,Time Horizon:,Discounting Rate (Costs):,Discounting Rate (QALYs):,Incremental Cost-Effectiveness Ratio (Original currency and year):,Currency Country:,Currency Year:,Incremental Cost-Effectiveness Ratio (Converted to current $USD):
28301,Cost effectiveness of strategies to combat neuropsychiatric conditions in sub-Saharan Africa and South East Asia: mathematical modelling study,"To assess the comparative costs and effects of interventions to combat five neuropsychiatric conditions (schizophrenia, bipolar disorder, depression, epilepsy, and heavy alcohol use).Cost effectiveness analysis based on an epidemiological model.Two epidemiologically defined World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Published studies, costing databases.Cost per capita and cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.Across 44 assessed intervention strategies for the five neuropsychiatric conditions, cost effectiveness values differed by as much as two orders of magnitude (from $Int100-250 to $Int10,000-25,000 for a year of healthy life gained). In both sub-regions, inpatient based treatment of schizophrenia with newer antipsychotic drugs was the most costly and least cost effective strategy. The most cost effective strategies in the African sub-region related to population based alcohol control, while in the South East Asian sub-region the most cost effective intervention was drug treatment of epilepsy in primary care. The cumulative cost per capita of the most cost effective set of interventions covering all five conditions was estimated at $Int4.90-5.70. This package comprises interventions for epilepsy (older first line antiepileptic drugs); depression (generically produced newer antidepressants and psychosocial treatment); bipolar disorder (mood stabiliser drug lithium); schizophrenia (neuroleptic antipsychotic drugs and psychosocial treatment); and heavy alcohol use (increased taxation and its enforcement, reduced access, and, in the African sub-region, advertising bans and brief advice to heavy drinkers in primary care).Reallocation of resources to cost effective intervention strategies would increase health gain, save money and help implement much needed expansion of services for neuropsychiatric conditions in low resource settings.",2012-99-08802,22389339,BMJ,Dan Chisholm,2012,344 /,e609,No,22389339,"Dan Chisholm; Shekhar Saxena; Cost effectiveness of strategies to combat neuropsychiatric conditions in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e609",DALY,"Bangladesh, Bhutan, India, North Korea, Maldives, Myanmar, Nepal, Timor-Leste",Not Stated,"Health Education or Behavior, Legislation / Regulation, Pharmaceutical",Increased tax on alcoholic beverages + reduced access to retail outlets + tax enforcement vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3,3,2207,United States,2005,2924.71
28302,Cost effectiveness of strategies to combat neuropsychiatric conditions in sub-Saharan Africa and South East Asia: mathematical modelling study,"To assess the comparative costs and effects of interventions to combat five neuropsychiatric conditions (schizophrenia, bipolar disorder, depression, epilepsy, and heavy alcohol use).Cost effectiveness analysis based on an epidemiological model.Two epidemiologically defined World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Published studies, costing databases.Cost per capita and cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.Across 44 assessed intervention strategies for the five neuropsychiatric conditions, cost effectiveness values differed by as much as two orders of magnitude (from $Int100-250 to $Int10,000-25,000 for a year of healthy life gained). In both sub-regions, inpatient based treatment of schizophrenia with newer antipsychotic drugs was the most costly and least cost effective strategy. The most cost effective strategies in the African sub-region related to population based alcohol control, while in the South East Asian sub-region the most cost effective intervention was drug treatment of epilepsy in primary care. The cumulative cost per capita of the most cost effective set of interventions covering all five conditions was estimated at $Int4.90-5.70. This package comprises interventions for epilepsy (older first line antiepileptic drugs); depression (generically produced newer antidepressants and psychosocial treatment); bipolar disorder (mood stabiliser drug lithium); schizophrenia (neuroleptic antipsychotic drugs and psychosocial treatment); and heavy alcohol use (increased taxation and its enforcement, reduced access, and, in the African sub-region, advertising bans and brief advice to heavy drinkers in primary care).Reallocation of resources to cost effective intervention strategies would increase health gain, save money and help implement much needed expansion of services for neuropsychiatric conditions in low resource settings.",2012-99-08802,22389339,BMJ,Dan Chisholm,2012,344 /,e609,No,22389339,"Dan Chisholm; Shekhar Saxena; Cost effectiveness of strategies to combat neuropsychiatric conditions in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e609",DALY,"Bangladesh, Bhutan, India, North Korea, Maldives, Myanmar, Nepal, Timor-Leste",Not Stated,"Health Education or Behavior, Legislation / Regulation, Pharmaceutical",Increased tax on alcoholic beverages + brief advice in primary care + advertising ban + reduced access to retail outlets vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3,3,2120,United States,2005,2809.42
28303,Cost effectiveness of strategies to combat neuropsychiatric conditions in sub-Saharan Africa and South East Asia: mathematical modelling study,"To assess the comparative costs and effects of interventions to combat five neuropsychiatric conditions (schizophrenia, bipolar disorder, depression, epilepsy, and heavy alcohol use).Cost effectiveness analysis based on an epidemiological model.Two epidemiologically defined World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Published studies, costing databases.Cost per capita and cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.Across 44 assessed intervention strategies for the five neuropsychiatric conditions, cost effectiveness values differed by as much as two orders of magnitude (from $Int100-250 to $Int10,000-25,000 for a year of healthy life gained). In both sub-regions, inpatient based treatment of schizophrenia with newer antipsychotic drugs was the most costly and least cost effective strategy. The most cost effective strategies in the African sub-region related to population based alcohol control, while in the South East Asian sub-region the most cost effective intervention was drug treatment of epilepsy in primary care. The cumulative cost per capita of the most cost effective set of interventions covering all five conditions was estimated at $Int4.90-5.70. This package comprises interventions for epilepsy (older first line antiepileptic drugs); depression (generically produced newer antidepressants and psychosocial treatment); bipolar disorder (mood stabiliser drug lithium); schizophrenia (neuroleptic antipsychotic drugs and psychosocial treatment); and heavy alcohol use (increased taxation and its enforcement, reduced access, and, in the African sub-region, advertising bans and brief advice to heavy drinkers in primary care).Reallocation of resources to cost effective intervention strategies would increase health gain, save money and help implement much needed expansion of services for neuropsychiatric conditions in low resource settings.",2012-99-08802,22389339,BMJ,Dan Chisholm,2012,344 /,e609,No,22389339,"Dan Chisholm; Shekhar Saxena; Cost effectiveness of strategies to combat neuropsychiatric conditions in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e609",DALY,"Bangladesh, Bhutan, India, North Korea, Maldives, Myanmar, Nepal, Timor-Leste",Not Stated,"Health Education or Behavior, Legislation / Regulation, Pharmaceutical",Increased tax on alcoholic beverages + brief advice in primary care + advertising ban + reduced access to retail outlets + tax enforcement vs. None,Not Stated,Not Stated,19 Years,"Female, Male",Full,,3,3,2593,United States,2005,3436.24
28304,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Botswana, Burundi, Central African Republic, Congo Democratic Republic, Congo, Côte d'Ivoire, Eritrea, Ethiopia, Kenya, Lesotho, Malawi, Mozambique, Namibia, Rwanda, South Africa, Swaziland, Tanzania, Uganda, Zambia, Zimbabwe",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Low dose inhaled corticosteroids vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,2686,United States,2005,3559.48
28305,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Bangladesh, Bhutan, India, North Korea, Maldives, Myanmar, Nepal, Timor-Leste",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Low dose inhaled corticosteroids vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,2420,United States,2005,3206.98
28306,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Bangladesh, Bhutan, India, North Korea, Maldives, Myanmar, Nepal, Timor-Leste",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Low dose inhaled corticosteroids + long acting beta agonists vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,5482,United States,2005,7264.73
28307,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Botswana, Burundi, Central African Republic, Congo Democratic Republic, Congo, Côte d'Ivoire, Eritrea, Ethiopia, Kenya, Lesotho, Malawi, Mozambique, Namibia, Rwanda, South Africa, Swaziland, Tanzania, Uganda, Zambia, Zimbabwe",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Low dose inhaled corticosteroids + long acting beta agonists vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,5512,United States,2005,7304.49
28308,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Botswana, Burundi, Central African Republic, Congo Democratic Republic, Congo, Côte d'Ivoire, Eritrea, Ethiopia, Kenya, Lesotho, Malawi, Mozambique, Namibia, Rwanda, South Africa, Swaziland, Tanzania, Uganda, Zambia, Zimbabwe",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Medium dose inhaled corticosteroids vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,4995,United States,2005,6619.36
28309,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Bangladesh, Bhutan, India, North Korea, Maldives, Myanmar, Nepal, Timor-Leste",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Medium dose inhaled corticosteroids vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,4599,United States,2005,6094.58
28310,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Bangladesh, Bhutan, India, North Korea, Maldives, Myanmar, Nepal, Timor-Leste",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Low dose inhaled corticosteroids + leukotriene receptor agonists vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,7075,United States,2005,9375.77
28311,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Botswana, Burundi, Central African Republic, Congo Democratic Republic, Congo, Côte d'Ivoire, Eritrea, Ethiopia, Kenya, Lesotho, Malawi, Mozambique, Namibia, Rwanda, South Africa, Swaziland, Tanzania, Uganda, Zambia, Zimbabwe",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Low dose inhaled corticosteroids + leukotriene receptor agonists vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,6772,United States,2005,8974.23
28312,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Botswana, Burundi, Central African Republic, Congo Democratic Republic, Congo, Côte d'Ivoire, Eritrea, Ethiopia, Kenya, Lesotho, Malawi, Mozambique, Namibia, Rwanda, South Africa, Swaziland, Tanzania, Uganda, Zambia, Zimbabwe",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Prevention and treatment of exacerbations through smoking cessation vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,20051,United States,2005,26571.53
28313,Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study,"To determine the population level costs, effects, and cost effectiveness of selected, individual based interventions to combat chronic obstructive pulmonary disease (COPD) and asthma in the context of low and middle income countries.Sectoral cost effectiveness analysis using a lifetime population model.Two World Health Organization sub-regions of the world: countries in sub-Saharan Africa with very high adult and high child mortality (AfrE); and countries in South East Asia with high adult and high child mortality (SearD).Disease rates and profiles were taken from the WHO Global Burden of Disease study; estimates of intervention effects and resource needs were drawn from clinical trials, observational studies, and treatment guidelines. Unit costs were taken from a WHO price database.Cost per disability adjusted life year (DALY) averted, expressed in international dollars ($Int) for the year 2005.In both regions low dose inhaled corticosteroids for mild persistent asthma was considered the most cost effective intervention, with average cost per DALY averted about $Int2500. The next best value strategies were influenza vaccine for COPD in Sear-D (incremental cost $Int4950 per DALY averted) and low dose inhaled corticosteroids plus long acting ? agonists for moderate persistent asthma in Afr-E (incremental cost $Int9112 per DALY averted).COPD is irreversible and progressive, and current treatment options produce relatively little gains relative to the cost. The treatment options available for asthma, however, generally decrease chronic respiratory disease burden at a relatively low cost.",2012-99-08801,22389338,BMJ,Anderson E Stanciole,2012,344 /,e608,No,22389338,"Anderson E Stanciole; M?nica Orteg?n; Dan Chisholm; Jeremy A Lauer; Cost effectiveness of strategies to combat chronic obstructive pulmonary disease and asthma in sub-Saharan Africa and South East Asia: mathematical modelling study, BMJ, ; 344 ():0959-8138; e608",DALY,"Bangladesh, Bhutan, India, North Korea, Maldives, Myanmar, Nepal, Timor-Leste",Not Stated,"Care Delivery, Immunization, Pharmaceutical",Prevention and treatment of exacerbations through smoking cessation vs. None,Not Stated,Not Stated,6 Years,"Female, Male",Full,,3,3,11924,United States,2005,15801.65
